NAMESHORT_SB;NAME_SB;NAMESHORT_NORDNET;NAME_NORDNET;PRICE;URL_SB;URL_NN
NTGRP.NGM;NET TRADING GROUP NTG;;;4.58;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NTGRP.NGM;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3T0L&marketid=13
ORIF.ST;ORIFLAME HOLDING;;;402.2;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORIF.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110536&marketid=11
PNVA.NGM;PAYNOVA;;;0.41;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PNVA.NGM;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=86&marketid=13
PRLD.NGM;PROLIGHT DIAGNOSTICS;;;4.36;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PRLD.NGM;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3NT5&marketid=13
RENT.NGM;RENTUNDER HOLDING;;;3.7;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RENT.NGM;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3R03&marketid=13
RISEN.NGM;RIPASSO ENERGY;;;7.86;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RISEN.NGM;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3HJN&marketid=13
SAGA-A.ST;SAGAX;;;103.5;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAGA-A.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=43045&marketid=11
SARSYS.NGM;SCANDINAVIAN AIRPORT AND ROAD SYSTEM;;;5.4;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SARSYS.NGM;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3M8Q&marketid=13
SEB-A.ST;SE BANKEN A;;;94.82;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SEB-A.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=281&marketid=11
SEB-C.ST;SE BANKEN C;;;97.5;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SEB-C.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=282&marketid=11
SHB-B.ST;HANDELSBANKEN B;;;118.2;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SHB-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=341&marketid=11
SOSIL.NGM;SOTKAMO SILVER;;;3.605;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SOSIL.NGM;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=85&marketid=13
SUSW.ST;SURGICAL SCIENCE SWEDEN;;;57;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SUSW.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=139699&marketid=11
TGATE.NGM;THREE GATES;;;5.8;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TGATE.NGM;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3E5E&marketid=13
TLSN.ST;TELIA COMPANY;;;38.87;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TLSN.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5095&marketid=11
ULED.NGM;UNI-LIGHT LED;;;1.95;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ULED.NGM;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3B0P&marketid=13
VOLV-B.ST;VOLVO B;;;151.65;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VOLV-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=366&marketid=11
