NAMESHORT_SB;NAME_SB;PRICE;NAME_NORDNET;NAMESHORT_NORDNET;GROUP_BUY;MARKET_ID;IDENTIFIER_ID;URL_SB;URL_NN;BUYS_TOTAL;BUYS_24_PERCENT_CORRECT;PRICE_CHANGE_PERCENT_AVERAGE;PRICE_CHANGE_PERCENT_MEDIAN;BUY_AVERAGE_FAILED_PERCENT_CHANGE;BUY_AVERAGE_SUCCESS_PERCENT_CHANGE;BUY_MEDIAN_FAILED_PERCENT_CHANGE;BUY_MEDIAN_SUCCESS_PERCENT_CHANGE;BUYANDFAIL_MEDIAN_KEYVALUE;BUYANDFAIL_AVERAGE_KEYVALUE;MEDIAN_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;AVERAGE_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;MEDIAN_BUY_INTRADAY-CLOSING_PERCENT_CHANGE;AVERAGE_BUY_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_MEDIAN_KEYVALUE_AND_MEDIAN_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_AVERAGE_KEYVALUE_AND_AVERAGE_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_MEDIAN_KEYVALUE_AND_MEDIAN_BUY_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_AVERAGE_KEYVALUE_AND_AVERAGE_BUY_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;HIGHEST_THROUGH_CURRENT_PERCENT_CHANGE
AAP-B.ST;ARC AROMA;40.95;Arc Aroma Pure AB;AAP B;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;93180;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAP-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=93180&marketid=11;31.0;51.6;7.04;3.51;-2.09;14.52;-2.01;10.09;4.23;6.47;-1.15;-2.07;1.71;2.47;3.08;4.4;1.37;1.93;2.18
PXXS-SDB.ST;PEARL EXPLORATION AND PROD GDR;9.59;BlackPearl Resources Inc. SDB;PXXS SDB;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;41187;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PXXS-SDB.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=41187&marketid=11;31.0;51.6;5.9;2.8;-2.39;11.39;-2.02;8.9;3.61;4.71;-0.79;-1.0;1.47;1.6;2.82;3.71;1.35;2.11;1.39
TETY.ST;TETHYS OIL;91.35;Tethys Oil AB;TETY;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;24588;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TETY.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=24588&marketid=11;34.0;69.7;5.55;2.09;-6.03;6.01;-1.4;4.07;2.31;2.26;-53.56;-54.79;-52.6;-55.16;-51.25;-52.53;1.35;2.63;3.05
FPIP.ST;FORMPIPE;16.25;FormPipe Software AB;FPIP;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;72565;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FPIP.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=72565&marketid=11;30.0;46.7;2.77;1.57;-1.01;6.12;-0.85;5.32;2.05;2.34;-0.18;-0.96;0.53;0.91;1.87;1.38;1.34;0.47;1.0
MSON-B.ST;MIDSONA B;66.5;Midsona AB ser. B;MSON B;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;3922;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MSON-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3922&marketid=11;34.0;60.6;3.55;1.65;-1.41;7.19;-1.22;5.38;2.73;3.75;-0.81;-1.02;0.64;1.08;1.92;2.73;1.28;1.65;1.0
GHP.ST;GHP SPECIALTY CARE;9.89;GHP Specialty Care AB;GHP;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;59064;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GHP.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=59064&marketid=11;32.0;48.4;3.85;2.22;-1.44;6.75;-1.35;7.35;2.87;2.53;-0.55;-0.9;1.1;1.28;2.32;1.63;1.22;0.35;1.37
QLRO.ST;QLIRO GROUP;10.1;Qliro Group AB;QLRO;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;79303;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=QLRO.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=79303&marketid=11;36.0;54.3;4.42;2.69;-2.02;6.14;-1.2;5.92;2.64;2.39;-0.53;-1.16;0.9;1.48;2.11;1.23;1.21;-0.25;1.72
BRIG.ST;BRIGHTER AB;8.04;Brighter AB;BRIG;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;86375;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIG.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=86375&marketid=11;34.0;54.5;8.92;5.09;-4.3;19.34;-3.65;11.74;4.72;8.56;0.24;0.16;3.85;5.66;4.96;8.72;1.11;3.06;1.3
XANO-B.ST;XANO INDUSTRI B;265.0;XANO Industri AB ser. B;XANO B;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;1074;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XANO-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1074&marketid=11;35.0;71.4;4.82;2.44;-1.49;8.65;-1.35;5.69;3.57;5.64;-1.0;-1.58;1.46;1.61;2.57;4.06;1.11;2.45;1.05
PACT.ST;PROACT IT GROUP;171.0;Proact IT Group AB;PACT;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;4003;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PACT.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=4003&marketid=11;36.0;62.9;3.55;2.03;-1.31;6.18;-0.9;5.09;2.8;3.34;-1.06;-1.38;0.7;1.18;1.74;1.96;1.04;0.78;1.22
BIOG-B.ST;BIOGAIA B;390.5;BioGaia AB ser. B;BIOG B;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;959;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOG-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=959&marketid=11;33.0;65.6;3.08;1.37;-1.01;5.68;-0.92;4.44;2.52;3.3;-0.85;-1.03;0.64;0.89;1.67;2.27;1.03;1.38;1.01
NOLA-B.ST;NOLATO B;749.0;Nolato AB ser. B;NOLA B;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;923;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NOLA-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=923&marketid=11;35.0;73.5;3.57;1.99;-1.23;6.26;-1.01;3.67;2.31;4.16;-0.7;-0.76;0.59;1.02;1.61;3.4;1.02;2.38;1.0
TRANS.ST;TRANSTEMA;25.15;Transtema Group AB;TRANS;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;109528;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TRANS.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=109528&marketid=11;34.0;63.6;8.22;4.85;-3.21;11.57;-2.79;8.97;4.62;6.12;-1.79;-2.16;1.83;2.93;2.83;3.96;1.0;1.03;2.63
