NAMESHORT_SB;NAME_SB;URL_SB;URL_NN;NAME_NORDNET;NAMESHORT_NORDNET;MARKET_ID;IDENTIFIER_ID;GROUP_BUY;ACTIVE;ACTIVE_TEMP;AMOUNT_HELD;PRICE;PRICE_TEMP
BEGR.ST;BE GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BEGR.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=37309&marketid=11;BE Group AB;BEGR;11;37309;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;52.3;
IMMNOV.ST;IMMUNOVIA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IMMNOV.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=115966&marketid=11;Immunovia AB;IMMNOV;11;115966;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;166.0;
ORX.ST;OREXO;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORX.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=31885&marketid=11;Orexo AB;ORX;11;31885;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;35.0;
NOTE.ST;NOTE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NOTE.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=25319&marketid=11;NOTE AB;NOTE;11;25319;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;22.5;
RAY-B.ST;RAYSEARCH LABORATORIES B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RAY-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1063&marketid=11;RaySearch Laboratories AB ser. B;RAY B;11;1063;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;107.2;
BIOT.ST;BIOTAGE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOT.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5209&marketid=11;Biotage AB;BIOT;11;5209;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;102.0;
HTRO.ST;HEXATRONIC GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HTRO.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=82816&marketid=11;Hexatronic Group AB;HTRO;11;82816;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;61.4;
SPOR.ST;SPORTAMORE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SPOR.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=90180&marketid=11;Sportamore AB;SPOR;11;90180;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;104.4;
ENQ.ST;ENQUEST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENQ.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=75073&marketid=11;EnQuest PLC;ENQ;11;75073;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;4.085;
ACAN-B.ST;ACANDO;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACAN-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=981&marketid=11;Acando AB ser. B;ACAN B;11;981;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;31.0;
