NAMESHORT_SB;NAME_SB;URL_SB;NAME_NORDNET;NAMESHORT_NORDNET;URL_NN;MARKET_ID;IDENTIFIER_ID;GROUP_BUY;PRICE;BUYS_TOTAL;BUYS_24_PERCENT_CORRECT;PRICE_CHANGE_PERCENT_AVERAGE;PRICE_CHANGE_PERCENT_MEDIAN;BUY_AVERAGE_FAILED_PERCENT_CHANGE;BUY_AVERAGE_SUCCESS_PERCENT_CHANGE;BUY_MEDIAN_FAILED_PERCENT_CHANGE;BUY_MEDIAN_SUCCESS_PERCENT_CHANGE;BUYANDFAIL_MEDIAN_KEYVALUE;BUYANDFAIL_AVERAGE_KEYVALUE;MEDIAN_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;AVERAGE_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;MEDIAN_BUY_INTRADAY-CLOSING_PERCENT_CHANGE;AVERAGE_BUY_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_MEDIAN_KEYVALUE_AND_MEDIAN_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_AVERAGE_KEYVALUE_AND_AVERAGE_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_MEDIAN_KEYVALUE_AND_MEDIAN_BUY_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_AVERAGE_KEYVALUE_AND_AVERAGE_BUY_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;HIGHEST_THROUGH_CURRENT_PERCENT_CHANGE;TRADE_PRICE;TRADE_TYPE;TRADE_TIME;TRADE_PERCENT_CHANGE
BACTI-B.ST;BACTIGUARD HOLD;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BACTI-B.ST;Bactiguard Holding AB;BACTI B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101601&marketid=11;11;101601;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;32.7;31;66.7;4.45;2.61;-2.26;7.04;-1.25;6.02;3.43;3.78;-0.71;-1.14;1.05;1.83;2.72;2.64;1.67;0.81;1;32.7;BUY;2018-07-12;
SSAB-B.ST;SSAB B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SSAB-B.ST;SSAB AB ser. B;SSAB B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=301&marketid=11;11;301;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;34.25;38;65.8;4;2.6;-1.83;6.89;-1.24;5.16;2.89;3.83;-0.87;-1.18;0.84;1.44;2.02;2.65;1.18;1.21;1.06;33.8;SELL;2018-07-12;-1.43
SES.ST;SCAND ENVIRO SYS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SES.ST;Scandinavian Enviro Systems AB;SES;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101603&marketid=11;11;101603;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;0.938;34;52.9;11.94;4.34;-2.45;25.45;-1.85;12.9;5.94;12.29;-1.34;-3.3;1.33;4.65;4.6;8.99;3.27;4.34;3.62;1.03;SELL;2018-07-12;10.04
SPOR.ST;SPORTAMORE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SPOR.ST;Sportamore AB;SPOR;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=90180&marketid=11;11;90180;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;97.1;33;68.8;5.47;3.7;-1.47;8.8;-1.23;5.13;3.05;5.5;-0.7;-1.38;0.74;1.38;2.35;4.12;1.61;2.74;1.38;98;SELL;2018-07-18;-0.71
BACTI-B.ST;BACTIGUARD HOLD;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BACTI-B.ST;Bactiguard Holding AB;BACTI B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101601&marketid=11;11;101601;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;32.7;31;66.7;4.45;2.61;-2.26;7.04;-1.25;6.02;3.43;3.78;-0.71;-1.14;1.05;1.83;2.72;2.64;1.67;0.81;1;35.2;SELL;2018-07-24;7.65
COPP-B.ST;COPPERSTONE RESOURCE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COPP-B.ST;Copperstone Resources AB ser. B;COPP B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=38904&marketid=11;11;38904;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;1.047;33;56.2;9.79;5.24;-3.25;18.68;-3.15;15.67;7.36;9.01;-1.84;-2.11;1.36;3.47;5.52;6.9;4.16;3.43;2.02;1.03;BUY;2018-07-25;
SES.ST;SCAND ENVIRO SYS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SES.ST;Scandinavian Enviro Systems AB;SES;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101603&marketid=11;11;101603;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;1.02;33;54.5;12.08;4.34;-2.17;25.45;-1.84;12.9;6.15;12.84;-1.27;-2.74;1.32;4.6;4.88;10.1;3.56;5.5;3.1;1.065;BUY;2018-07-25;
SOF-B.ST;SOFTRONIC B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SOF-B.ST;Softronic AB ser. B;SOF B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1546&marketid=11;11;1546;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;21.9;31;54.8;3.22;1.71;-1.4;7.24;-1.32;6.1;2.7;3.29;-0.49;-0.65;0.64;0.9;2.21;2.64;1.57;1.74;1.04;22.9;BUY;2018-07-26;
BIOT.ST;BIOTAGE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOT.ST;Biotage AB;BIOT;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5209&marketid=11;11;5209;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;120;35;68.6;4.31;2.21;-1.8;8;-1.96;7.43;4.3;4.74;-1.3;-1.41;1.46;1.86;3;3.33;1.54;1.47;1;111;BUY;2018-07-26;
SES.ST;SCAND ENVIRO SYS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SES.ST;Scandinavian Enviro Systems AB;SES;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101603&marketid=11;11;101603;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;1.02;33;54.5;12.08;4.34;-2.17;25.45;-1.84;12.9;6.15;12.84;-1.27;-2.74;1.32;4.6;4.88;10.1;3.56;5.5;3.1;0.98;SELL;2018-07-27;-7.98
