NAMESHORT_SB;NAME_SB;MONTH_6_PERCENT_CORRECT;MONTH_6_VALUE;MONTH_12_PERCENT_CORRECT;MONTH_12_VALUE;MONTH_24_PERCENT_CORRECT;MONTH_24_VALUE;AVERAGE_PERCENT_CORRECT;AVERAGE_VALUE;BUY_AVERAGE_PERCENT_CHANGE;BUY_MEDIAN_PERCENT_CHANGE;URL_SB;MARKET_ID;IDENTIFIER_ID;URL_NN
AAP-B.ST;ARC AROMA;61.1;142;62.5;311;57.6;1091;60.4;514;6.18;0.64;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAP-B.ST;N/A;N/A;N/A
ABB.ST;ABB LTD N;62.5;111;62.5;137;58.6;186;61.2;144;1.85;0.68;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ABB.ST;11;3966;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3966&marketid=11
ABIGR.NGM;ABELCO INVESTMENT GROUP;75.0;164;75.0;264;75.0;264;75.0;230;9.16;3.22;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ABIGR.NGM;N/A;N/A;N/A
ACAD.ST;ACADEMEDIA;38.9;102;57.1;143;62.0;190;52.7;145;2.4;0.46;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACAD.ST;11;123363;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123363&marketid=11
ACAN-B.ST;ACANDO;64.7;113;67.6;139;63.5;258;65.3;170;3.42;2.82;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACAN-B.ST;N/A;N/A;N/A
ACARIX.ST;ACARIX;53.8;109;51.5;88;51.5;88;52.3;95;-0.15;-2.15;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACARIX.ST;11;130710;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=130710&marketid=11
ACM.ST;A CITY MEDIA;60.0;137;51.5;151;49.2;340;53.6;209;4.13;0.0;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACM.ST;11;116111;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=116111&marketid=11
ACTI.ST;ACTIVE BIOTECH;66.7;228;79.3;322;70.5;962;72.2;504;9.05;3.05;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACTI.ST;11;877;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=877&marketid=11
ADDERA.ST;ADDERACARE;73.7;127;74.2;157;72.7;160;73.5;148;2.15;1.24;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADDERA.ST;11;129533;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=129533&marketid=11
ADDT-B.ST;ADDTECH B;68.4;118;65.8;144;64.8;256;66.3;172;2.71;1.92;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADDT-B.ST;N/A;N/A;N/A
ADDV-B.ST;ADDVISE GROUP;38.9;82;35.7;83;47.8;82;40.8;82;0.88;-1.16;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADDV-B.ST;N/A;N/A;N/A
ADVE.ST;ADVENICA;55.0;125;55.3;155;58.6;248;56.3;176;2.94;0.52;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADVE.ST;11;102777;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=102777&marketid=11
AERO.ST;SVENSKA AEROGEL HOLDING;58.3;163;53.5;127;55.6;141;55.8;143;3.07;-0.4;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AERO.ST;11;130818;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=130818&marketid=11
AF-B.ST;AF B;75.0;111;59.1;109;59.0;151;64.4;123;1.62;0.28;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AF-B.ST;N/A;N/A;N/A
AGES-B.ST;AGES INDUSTRI;33.3;99;73.7;121;60.0;144;55.7;121;2.06;1.76;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AGES-B.ST;N/A;N/A;N/A
AGORA-PREF.ST;AGORA PREF PRF;77.8;106;58.8;105;58.8;105;65.1;105;0.92;0.33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AGORA-PREF.ST;N/A;N/A;N/A
AGRO.ST;AGROMINO;46.7;97;48.4;121;52.7;232;49.3;150;2.14;0.5;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AGRO.ST;11;40543;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=40543&marketid=11
AHSL.ST;AHLSELL;52.2;93;57.8;97;58.8;102;56.3;97;0.56;0.52;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AHSL.ST;11;128388;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=128388&marketid=11
