NAMESHORT_SB;NAME_SB;MONTH_6_PERCENT_CORRECT;MONTH_6_VALUE;MONTH_12_PERCENT_CORRECT;MONTH_12_VALUE;MONTH_24_PERCENT_CORRECT;MONTH_24_VALUE;AVERAGE_PERCENT_CORRECT;AVERAGE_VALUE;BUY_AVERAGE_PERCENT_CHANGE;BUY_MEDIAN_PERCENT_CHANGE;URL_SB;MARKET_ID;IDENTIFIER_ID;URL_NN
BTS-B.ST;BTS GROUP B;68.8;105;55.6;96;50.0;105;58.1;102;1.05;0.27;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BTS-B.ST;N/A;N/A;N/A
BUFAB.ST;BUFAB;72.7;123;64.3;169;64.1;279;67.0;190;2.67;0.98;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BUFAB.ST;11;99667;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=99667&marketid=11
BULTEN.ST;BULTEN;50.0;107;69.4;151;59.2;192;59.5;150;2.01;1.6;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BULTEN.ST;11;82239;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=82239&marketid=11
BURE.ST;BURE EQUITY;50.0;96;58.8;132;55.3;200;54.7;142;2.48;0.64;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BURE.ST;11;800;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=800&marketid=11
BUSER.ST;BAMBUSER;70.0;101;70.8;106;70.8;106;70.5;104;-1.44;0.16;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BUSER.ST;11;136907;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=136907&marketid=11
BWL.ST;BRINGWELL;;;;;;;;;;;;N/A;N/A;N/A
BYGGP.ST;BYGGPARTNER I DALARNA HOLDING;52.6;126;51.1;119;49.0;118;50.9;121;0.6;-0.11;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BYGGP.ST;11;129518;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=129518&marketid=11
CAMX.ST;CAMURUS;82.4;110;81.2;147;73.8;352;79.1;203;4.16;1.9;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAMX.ST;11;115961;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=115961&marketid=11
CANTA.ST;CANTARGIA;60.0;158;67.9;239;61.5;275;63.1;224;3.14;2.01;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CANTA.ST;11;107644;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=107644&marketid=11
CAPAC.ST;CAPACENT HOLDING;52.9;138;54.8;147;61.8;228;56.5;171;2.34;1.16;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAPAC.ST;11;113748;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=113748&marketid=11
CAPIO.ST;CAPIO;40.0;93;52.5;100;51.2;109;47.9;100;0.55;0.21;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAPIO.ST;11;110740;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110740&marketid=11
CASO.ST;CASSANDRA OIL;73.3;231;62.1;251;65.1;436;66.8;306;2.73;0.46;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CASO.ST;11;25660;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=25660&marketid=11
CAST.ST;CASTELLUM;52.9;106;54.1;121;50.6;125;52.5;117;0.97;0.55;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAST.ST;11;966;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=966&marketid=11
CAT-A.ST;CATELLA A;72.7;114;57.6;142;60.0;164;63.4;140;1.68;-0.22;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAT-A.ST;N/A;N/A;N/A
CAT-B.ST;CATELLA B;45.8;98;53.5;121;53.2;146;50.8;121;1.23;0.8;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAT-B.ST;N/A;N/A;N/A
CATE.ST;CATENA;63.2;105;60.6;122;57.6;134;60.5;120;1.52;0.86;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CATE.ST;11;34362;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=34362&marketid=11
CBA.ST;CYBAERO;62.5;118;68.8;517;65.2;1035;65.5;556;4.65;3.51;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CBA.ST;11;40870;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=40870&marketid=11
CBTT-B.ST;CHRISTIAN BERNER TECH TRADE;50.0;100;50.0;99;44.1;98;48.0;99;0.29;-0.45;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CBTT-B.ST;N/A;N/A;N/A
CCC.ST;CAVOTEC;64.3;108;54.8;120;59.0;221;59.4;149;2.4;-0.18;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CCC.ST;11;84962;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=84962&marketid=11
CCOR-B.ST;CONCORDIA MARITIME B;70.0;113;42.9;90;45.8;95;52.9;99;0.86;0.0;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CCOR-B.ST;N/A;N/A;N/A
CE.ST;CORTUS ENERGY;58.3;153;65.6;540;67.2;5463;63.7;2052;12.5;3.98;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CE.ST;11;27960;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=27960&marketid=11
CELLNK-B.ST;CELLINK;68.2;168;70.0;223;71.4;284;69.9;225;5.21;1.53;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CELLNK-B.ST;N/A;N/A;N/A
CEVI.ST;CELLAVISION;65.4;126;65.2;251;67.0;780;65.9;385;4.71;1.69;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CEVI.ST;11;40679;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=40679&marketid=11
CFISH.ST;CRUNCHFISH;50.0;141;51.2;359;50.0;378;50.4;292;5.96;-0.51;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CFISH.ST;11;128641;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=128641&marketid=11
CHRO.ST;CHROMOGENICS;83.3;171;88.9;211;88.9;211;87.0;197;2.98;1.01;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CHRO.ST;11;135174;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=135174&marketid=11
CI-B.ST;CELL IMPACT B;50.0;217;40.0;204;56.1;1026;48.7;482;6.4;-0.84;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CI-B.ST;N/A;N/A;N/A
CINN.ST;CINNO FIN TECH;66.7;124;63.9;133;64.7;279;65.1;178;3.42;0.65;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CINN.ST;N/A;N/A;N/A
CLA-B.ST;CLOETTA B;72.2;119;57.5;104;53.8;156;61.2;126;1.58;0.59;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLA-B.ST;N/A;N/A;N/A
CLAS-B.ST;CLAS OHLSON B;56.5;101;51.2;113;48.2;120;52.0;111;0.35;0.0;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLAS-B.ST;N/A;N/A;N/A
CLAV.ST;CLAVISTER HOLDING;72.7;155;68.8;389;70.5;724;70.7;422;4.33;1.68;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLAV.ST;11;100970;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=100970&marketid=11
CLBIO.ST;CORLINE BIOMED;58.8;106;54.5;121;53.5;307;55.6;178;3.08;0.0;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLBIO.ST;11;110074;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110074&marketid=11
CLDRE-B.NGM;CLOUDREPUBLIC;55.0;52;52.2;44;52.2;44;53.1;46;-1.16;-3.64;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLDRE-B.NGM;N/A;N/A;N/A
CLEANT-A.ST;CLEANTECH INVEST;;;;;;;;;;;;N/A;N/A;N/A
CLEM.ST;CLEMENDO GROUP;71.4;99;53.3;96;53.3;182;59.3;125;2.7;1.03;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLEM.ST;N/A;N/A;N/A
CLEMO.ST;CLEAN MOTION;58.3;113;56.2;194;54.2;198;56.2;168;2.77;0.0;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLEMO.ST;11;122709;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=122709&marketid=11
CLS-B.ST;CLINICAL LASERTHERMIA SYSTEMS B;64.7;209;66.7;314;53.5;497;61.6;340;4.64;-0.73;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLS-B.ST;N/A;N/A;N/A
CLX.ST;CLX COMMUNICATIONS;45.5;132;48.5;155;47.7;248;47.2;178;2.55;0.82;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLX.ST;N/A;N/A;N/A
CMOTEC-B.ST;SCANDINAVIAN CHEMOTECH;61.5;241;62.1;280;61.3;277;61.6;266;4.66;-0.63;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CMOTEC-B.ST;N/A;N/A;N/A
COGS.ST;COGNOSEC;75.0;168;57.7;283;58.3;494;63.7;315;9.8;5.34;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COGS.ST;11;126905;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=126905&marketid=11
COIC.ST;CONCENTRIC;45.8;110;56.5;131;56.5;181;52.9;140;1.51;0.53;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COIC.ST;11;82656;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=82656&marketid=11
COLL.ST;COLLECTOR;72.2;122;53.8;102;56.8;156;60.9;126;0.92;0.23;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COLL.ST;11;110079;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110079&marketid=11
COMH.ST;COM HEM HOLDING;66.7;114;57.6;124;55.6;166;60.0;134;2.15;0.56;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COMH.ST;11;101281;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101281&marketid=11
COMPI.NGM;COMPUTER INNOVATION I VAXJO;50.0;87;51.4;61;55.9;193;52.4;113;3.59;-1.06;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COMPI.NGM;N/A;N/A;N/A
CONS-B.ST;CONSILIUM B;70.6;125;58.1;131;62.3;224;63.7;160;1.95;0.72;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CONS-B.ST;N/A;N/A;N/A
COOR.ST;COOR SERVICE MANAGEMENT;61.1;126;63.2;150;59.0;230;61.1;168;2.67;0.9;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COOR.ST;11;110382;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110382&marketid=11
COPP-B.ST;COPPERSTONE RESOURCE;50.0;139;60.0;379;65.6;2079;58.5;865;11.8;3.36;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COPP-B.ST;N/A;N/A;N/A
CORE.ST;COREM PROPERTY GROUP;;;;;;;;;;;;N/A;N/A;N/A
CORE-PREF.ST;COREM PROPERTY GROUP PRF;52.9;106;51.7;116;52.5;121;52.4;114;0.62;0.25;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CORE-PREF.ST;N/A;N/A;N/A
CRAD-B.ST;C-RAD B;68.8;143;75.0;357;64.1;523;69.3;341;6.83;1.63;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CRAD-B.ST;N/A;N/A;N/A
CRED-A.ST;CREADES A;65.0;122;71.1;171;66.7;248;67.6;180;2.9;2.46;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CRED-A.ST;N/A;N/A;N/A
CRWN;CROWN ENERGY;78.6;111;62.5;213;58.0;286;66.4;203;3.86;0.87;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CRWN;13;1DHN;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1DHN&marketid=13
CTM.ST;CATENA MEDIA;41.2;146;43.2;172;49.3;274;44.6;197;3.29;2.33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CTM.ST;11;119018;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=119018&marketid=11
CTT.ST;CTT SYSTEMS;65.2;127;67.6;190;64.6;544;65.8;287;5.82;3.29;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CTT.ST;11;3081;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3081&marketid=11
CYXO.ST;CYXONE;56.5;144;48.8;187;50.9;233;52.1;188;3.33;-0.25;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CYXO.ST;11;123240;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123240&marketid=11
DCAR-B.ST;D CARNEGIE & CO B;76.5;109;79.3;128;79.2;213;78.3;150;3.44;1.13;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DCAR-B.ST;N/A;N/A;N/A
DDM.ST;DDM HOLDING;52.6;110;51.4;145;51.3;152;51.8;135;2.08;1.52;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DDM.ST;11;102079;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=102079&marketid=11
DEDI.ST;DEDICARE AB;66.7;159;65.8;193;60.3;664;64.3;338;5.12;1.31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DEDI.ST;11;81878;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=81878&marketid=11
DEFL-B.ST;DEFLAMO B;73.3;755;70.8;533;61.2;454;68.4;580;4.39;-1.2;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DEFL-B.ST;N/A;N/A;N/A
DELARK.ST;DELARKA HOLDING;28.6;90;32.6;83;34.7;80;32.0;84;-0.02;-0.22;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DELARK.ST;11;98836;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=98836&marketid=11
DIAH.ST;DIADROM HOLDING;56.2;101;54.2;115;54.2;115;54.9;110;1.29;0.54;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIAH.ST;11;40563;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=40563&marketid=11
DIGN.ST;DIGNITANA;61.5;541;58.6;783;57.1;1001;59.1;775;6.86;-0.57;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIGN.ST;11;66773;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=66773&marketid=11
DIOS.ST;DIOS FASTIGHETER;36.4;99;47.6;126;51.3;138;45.1;121;1.34;0.21;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIOS.ST;N/A;N/A;N/A
DIST.ST;DISTIT;66.7;122;63.0;133;57.4;274;62.4;176;3.44;-0.17;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIST.ST;11;81545;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=81545&marketid=11
DIVI-B.NGM;DIVIDEND SWEDEN;68.8;171;65.4;295;72.2;1741;68.8;735;9.96;2.96;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIVI-B.NGM;N/A;N/A;N/A
DMYD-B.ST;DIAMYD MEDICAL B;50.0;114;44.4;95;43.1;160;45.8;123;2.11;-0.98;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DMYD-B.ST;N/A;N/A;N/A
DOM.ST;DOMETIC GROUP;56.5;111;67.4;138;65.3;178;63.1;142;1.98;1.42;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DOM.ST;11;115619;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=115619&marketid=11
DOME.ST;DOME ENERGY;46.7;110;51.3;160;56.5;395;51.5;221;3.77;0.47;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DOME.ST;11;79783;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=79783&marketid=11
DORO.ST;DORO;76.9;120;66.7;148;71.0;262;71.5;176;1.93;0.48;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DORO.ST;11;896;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=896&marketid=11
DOXA.ST;DOXA;75.0;226;66.7;292;59.0;512;66.9;343;4.66;1.05;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DOXA.ST;11;100241;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=100241&marketid=11
DRIL.ST;DRILLCON;50.0;130;46.4;159;51.6;211;49.3;166;2.73;0.4;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DRIL.ST;11;35729;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=35729&marketid=11
DUNI.ST;DUNI;60.0;114;54.3;120;60.3;146;58.2;126;1.4;0.56;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DUNI.ST;11;49775;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=49775&marketid=11
DURC-B.ST;DUROC B;63.2;155;63.4;244;63.6;295;63.4;231;3.33;1.58;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DURC-B.ST;N/A;N/A;N/A
DUST.ST;DUSTIN GROUP;70.0;129;67.5;137;52.4;115;63.3;127;0.82;0.37;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DUST.ST;11;106202;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=106202&marketid=11
EAST.ST;EASTNINE;53.3;120;51.9;136;54.4;193;53.2;149;2.97;1.87;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EAST.ST;11;49615;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=49615&marketid=11
EDGE.ST;EDGEWARE;43.8;71;58.3;91;60.5;94;54.2;85;0.3;0.0;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EDGE.ST;11;129609;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=129609&marketid=11
EFFP.ST;EFFNETPLATTFORMEN;22.7;68;33.3;69;33.3;69;29.8;68;-1.17;-1.92;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EFFP.ST;11;131602;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=131602&marketid=11
EKTA-B.ST;ELEKTA B;80.0;130;72.7;161;71.0;242;74.6;177;2.43;0.81;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EKTA-B.ST;N/A;N/A;N/A
ELAN-B.ST;ELANDERS B;56.2;102;59.0;121;55.3;206;56.8;143;2.21;0.89;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELAN-B.ST;N/A;N/A;N/A
ELEC.ST;ELECTRA GRUPPEN;36.8;101;35.1;94;37.0;98;36.3;97;0.4;-0.76;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELEC.ST;11;66436;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=66436&marketid=11
ELN.ST;ELLEN;55.0;261;52.9;268;44.9;153;50.9;227;3.73;-1.7;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELN.ST;11;42472;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=42472&marketid=11
ELOS-B.ST;ELOS MEDTECH;38.1;83;41.5;80;50.7;101;43.4;88;0.3;-0.21;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELOS-B.ST;N/A;N/A;N/A
ELTEL.ST;ELTEL;66.7;113;71.1;198;62.9;204;66.9;171;2.73;1.31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELTEL.ST;11;106028;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=106028&marketid=11
ELUX-A.ST;ELECTROLUX A;76.9;110;75.0;132;73.4;178;75.1;140;2.22;1.26;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELUX-A.ST;N/A;N/A;N/A
ELUX-B.ST;ELECTROLUX B;52.6;102;58.1;112;64.4;143;58.4;119;1.29;1.41;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELUX-B.ST;N/A;N/A;N/A
ENDO.ST;ENDOMINES;65.0;117;62.9;232;61.8;495;63.2;281;5.02;-0.54;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENDO.ST;11;41059;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=41059&marketid=11
ENEA.ST;ENEA;60.0;105;63.6;120;62.5;173;62.0;132;1.96;1.38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENEA.ST;11;1149;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1149&marketid=11
ENERS.ST;ENERSIZE;71.4;112;68.8;121;68.8;121;69.7;118;1.52;-0.0;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENERS.ST;11;139583;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=139583&marketid=11
ENG.ST;INTERNATIONELLA ENGELSKA SKOLAN I SV;60.0;120;48.3;134;51.5;140;53.3;131;2.05;0.45;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENG.ST;11;126934;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=126934&marketid=11
ENQ.ST;ENQUEST;68.4;180;64.1;183;64.6;942;65.7;435;6.5;1.69;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENQ.ST;11;75073;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=75073&marketid=11
ENRO.ST;ENIRO;66.7;304;64.1;424;62.5;592;64.4;440;5.86;0.68;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENRO.ST;11;11046;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=11046&marketid=11
ENRO-PREF.ST;ENIRO PRF;57.1;118;56.2;252;58.5;310;57.3;226;5.0;0.46;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENRO-PREF.ST;N/A;N/A;N/A
ENZY.ST;ENZYMATICA;50.0;136;55.6;152;54.8;248;53.5;178;3.85;-0.32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENZY.ST;11;82655;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=82655&marketid=11
EOID.NGM;EYEONID GROUP;75.0;174;68.4;884;73.9;2144;72.4;1067;15.33;7.36;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EOID.NGM;N/A;N/A;N/A
EOLU-B.ST;EOLUS VIND B;57.9;114;48.8;122;56.2;164;54.3;133;1.61;0.57;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EOLU-B.ST;N/A;N/A;N/A
EOS.ST;EOS RUSSIA;58.8;108;66.7;161;68.1;217;64.5;162;4.11;1.9;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EOS.ST;N/A;N/A;N/A
EPIS-B.ST;EPISURF MEDICALORD;50.0;130;62.5;195;65.0;486;59.2;270;4.63;0.76;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EPIS-B.ST;N/A;N/A;N/A
ERIC-A.ST;ERICSSON A;58.8;111;69.7;129;65.2;136;64.6;125;1.44;1.21;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ERIC-A.ST;N/A;N/A;N/A
ERIC-B.ST;ERICSSON B;81.2;130;81.2;182;63.2;215;75.2;175;1.45;1.56;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ERIC-B.ST;N/A;N/A;N/A
ESSITY-A.ST;ESSITY;39.1;99;40.0;98;40.0;98;39.7;98;0.45;-0.26;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ESSITY-A.ST;N/A;N/A;N/A
ESSITY-B.ST;ESSITY;72.2;116;75.0;116;75.0;116;74.1;116;1.88;1.35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ESSITY-B.ST;N/A;N/A;N/A
ETX.ST;ETRION;62.5;114;48.4;101;54.2;167;55.0;127;1.22;-0.98;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ETX.ST;11;78547;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=78547&marketid=11
EVO.ST;EVOLUTION GAMING GROUP;61.9;117;61.5;175;68.4;349;63.9;213;3.58;2.51;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EVO.ST;11;107867;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=107867&marketid=11
EWRK.ST;EWORK GROUP;61.9;106;57.8;119;57.1;187;58.9;137;2.0;0.97;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EWRK.ST;11;72798;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=72798&marketid=11
EXPRS2.ST;EXPRES2ION BIOTECH HOLDING;60.9;246;59.0;288;56.1;285;58.7;273;5.11;0.91;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EXPRS2.ST;11;125185;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=125185&marketid=11
FABG.ST;FABEGE AB;78.9;124;54.1;134;57.3;192;63.4;150;1.94;0.35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FABG.ST;11;861;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=861&marketid=11
FAG.ST;FAGERHULT;76.5;127;63.4;159;64.9;363;68.3;216;3.97;1.69;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FAG.ST;11;903;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=903&marketid=11
FEEL.ST;FEELGOOD SVENSKA;35.3;94;45.9;120;49.3;470;43.5;228;5.65;0.2;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FEEL.ST;11;5053;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5053&marketid=11
FIL.ST;FILO MINING;53.8;95;56.0;128;54.3;144;54.7;122;3.22;0.0;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FIL.ST;11;126319;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=126319&marketid=11
FING-B.ST;FINGERPRINT CARDS B;59.1;115;54.3;165;57.1;317;56.8;199;1.14;-0.9;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FING-B.ST;N/A;N/A;N/A
