NAMESHORT_SB;NAME_SB;MONTH_6_PERCENT;MONTH_6_VALUE;MONTH_12_PERCENT;MONTH_12_VALUE;MONTH_24_PERCENT;MONTH_24_VALUE;AVERAGE_PERCENT;AVERAGE_VALUE;URL_SB;MARKET_ID;IDENTIFIER_ID;URL_NN
BOL.ST;BOLIDEN;76.9;125;73.0;124;62.7;211;70.9;153;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BOL.ST;11;15285;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=15285&marketid=11
BONAV-A.ST;BONAVA A;76.5;114;61.0;121;58.7;149;65.4;128;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BONAV-A.ST;N/A;N/A;N/A
BONAV-B.ST;BONAVA B;61.9;100;53.7;110;57.1;140;57.6;116;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BONAV-B.ST;N/A;N/A;N/A
BONG.ST;BONG;46.7;107;42.4;125;43.3;151;44.1;127;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BONG.ST;11;892;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=892&marketid=11
BOOZT.ST;BOOZT;53.8;134;57.1;134;57.1;134;56.0;134;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BOOZT.ST;11;138479;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=138479&marketid=11
BORG.ST;BJORN BORG;57.1;125;59.4;138;54.5;224;57.0;162;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BORG.ST;11;40286;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=40286&marketid=11
BOUL.ST;BOULE DIAGNOSTICS;75.0;124;72.7;210;75.0;1327;74.2;553;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BOUL.ST;11;82889;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=82889&marketid=11
BRAV.ST;BRAVIDA HOLDING;73.7;115;62.2;113;49.4;106;61.8;111;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRAV.ST;11;113960;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=113960&marketid=11
BRE2.ST;BREDBAND2 I SKANDINAVIEN;47.1;117;40.7;114;43.9;151;43.9;127;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRE2.ST;11;34627;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=34627&marketid=11
BRG-B.ST;BERGS TIMBER B;41.2;95;51.4;111;46.7;113;46.4;106;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRG-B.ST;N/A;N/A;N/A
