NAMESHORT_SB;NAME_SB;MONTH_6_PERCENT;MONTH_6_VALUE;MONTH_12_PERCENT;MONTH_12_VALUE;MONTH_24_PERCENT;MONTH_24_VALUE;AVERAGE_PERCENT;AVERAGE_VALUE;URL_SB;MARKET_ID;IDENTIFIER_ID;URL_NN
CAPAC.ST;CAPACENT HOLDING;58.8;138;58.1;147;63.6;228;60.2;171;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAPAC.ST;11;113748;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=113748&marketid=11
CAPIO.ST;CAPIO;36.8;93;48.8;98;50.6;109;45.4;100;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAPIO.ST;11;110740;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110740&marketid=11
CASO.ST;CASSANDRA OIL;80.0;246;64.3;245;66.1;426;70.1;305;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CASO.ST;11;25660;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=25660&marketid=11
CAST.ST;CASTELLUM;52.9;106;54.1;121;50.6;125;52.5;117;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAST.ST;11;966;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=966&marketid=11
CAT-A.ST;CATELLA A;72.7;114;57.6;142;60.0;164;63.4;140;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAT-A.ST;N/A;N/A;N/A
CAT-B.ST;CATELLA B;45.8;98;53.5;121;53.2;146;50.8;121;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAT-B.ST;N/A;N/A;N/A
CATE.ST;CATENA;63.2;105;60.6;122;57.6;134;60.5;120;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CATE.ST;11;34362;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=34362&marketid=11
CBA.ST;CYBAERO;62.5;118;68.8;517;65.2;1035;65.5;556;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CBA.ST;11;40870;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=40870&marketid=11
CBTT-B.ST;CHRISTIAN BERNER TECH TRADE;58.8;101;54.8;100;46.3;99;53.3;100;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CBTT-B.ST;N/A;N/A;N/A
CCC.ST;CAVOTEC;57.1;108;51.6;120;57.4;221;55.4;149;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CCC.ST;11;84962;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=84962&marketid=11
CCOR-B.ST;CONCORDIA MARITIME B;70.0;113;42.9;90;45.0;94;52.6;99;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CCOR-B.ST;N/A;N/A;N/A
CE.ST;CORTUS ENERGY;61.5;162;65.6;540;67.2;5463;64.8;2055;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CE.ST;11;27960;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=27960&marketid=11
CELLNK-B.ST;CELLINK;70.8;172;70.0;223;71.4;284;70.7;226;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CELLNK-B.ST;N/A;N/A;N/A
CEVI.ST;CELLAVISION;66.7;128;66.7;251;67.8;781;67.1;386;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CEVI.ST;11;40679;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=40679&marketid=11
CFISH.ST;CRUNCHFISH;50.0;141;50.0;352;50.0;378;50.0;290;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CFISH.ST;11;128641;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=128641&marketid=11
CHRO.ST;CHROMOGENICS;83.3;171;88.9;211;88.9;211;87.0;197;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CHRO.ST;11;135174;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=135174&marketid=11
CI-B.ST;CELL IMPACT B;50.0;217;40.0;204;56.1;1026;48.7;482;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CI-B.ST;N/A;N/A;N/A
CINN.ST;CINNO FIN TECH;66.7;124;63.9;133;64.7;279;65.1;178;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CINN.ST;N/A;N/A;N/A
CLA-B.ST;CLOETTA B;70.6;115;56.4;100;52.6;148;59.9;121;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLA-B.ST;N/A;N/A;N/A
CLAS-B.ST;CLAS OHLSON B;54.2;99;51.2;113;48.2;120;51.2;110;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLAS-B.ST;N/A;N/A;N/A
CLAV.ST;CLAVISTER HOLDING;76.9;212;68.8;389;71.4;765;72.4;455;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLAV.ST;11;100970;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=100970&marketid=11
CLBIO.ST;CORLINE BIOMED;58.8;106;51.4;121;52.8;295;54.3;174;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLBIO.ST;11;110074;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110074&marketid=11
CLDRE-B.NGM;CLOUDREPUBLIC;55.0;52;52.2;44;52.2;44;53.1;46;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLDRE-B.NGM;N/A;N/A;N/A
CLEANT-A.ST;CLEANTECH INVEST;;;;;;;;;;N/A;N/A;N/A
CLEM.ST;CLEMENDO GROUP;71.4;99;53.3;96;53.3;182;59.3;125;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLEM.ST;N/A;N/A;N/A
CLEMO.ST;CLEAN MOTION;58.3;113;56.2;194;54.2;198;56.2;168;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLEMO.ST;11;122709;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=122709&marketid=11
CLS-B.ST;CLINICAL LASERTHERMIA SYSTEMS B;62.5;209;65.6;314;52.9;497;60.3;340;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLS-B.ST;N/A;N/A;N/A
CLX.ST;CLX COMMUNICATIONS;53.8;138;51.5;155;49.2;248;51.5;180;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLX.ST;N/A;N/A;N/A
CMOTEC-B.ST;SCANDINAVIAN CHEMOTECH;57.1;231;64.3;280;63.3;277;61.6;262;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CMOTEC-B.ST;N/A;N/A;N/A
COGS.ST;COGNOSEC;75.0;168;57.7;283;58.3;494;63.7;315;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COGS.ST;11;126905;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=126905&marketid=11
COIC.ST;CONCENTRIC;43.5;110;55.6;130;56.0;180;51.7;140;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COIC.ST;11;82656;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=82656&marketid=11
COLL.ST;COLLECTOR;72.2;122;53.8;102;56.6;164;60.9;129;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COLL.ST;11;110079;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110079&marketid=11
COMH.ST;COM HEM HOLDING;66.7;114;57.6;124;55.6;166;60.0;134;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COMH.ST;11;101281;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101281&marketid=11
COMPI.NGM;COMPUTER INNOVATION I VAXJO;50.0;87;51.4;61;55.9;193;52.4;113;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COMPI.NGM;N/A;N/A;N/A
CONS-B.ST;CONSILIUM B;70.6;125;58.1;131;62.3;224;63.7;160;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CONS-B.ST;N/A;N/A;N/A
COOR.ST;COOR SERVICE MANAGEMENT;61.1;126;63.2;150;58.8;236;61.0;170;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COOR.ST;11;110382;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110382&marketid=11
COPP-B.ST;COPPERSTONE RESOURCE;50.0;139;58.3;373;65.2;2177;57.8;896;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COPP-B.ST;N/A;N/A;N/A
CORE.ST;COREM PROPERTY GROUP;;;;;;;;;;N/A;N/A;N/A
CORE-PREF.ST;COREM PROPERTY GROUP PRF;50.0;106;50.0;116;51.7;121;50.6;114;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CORE-PREF.ST;N/A;N/A;N/A
CRAD-B.ST;C-RAD B;64.7;126;74.2;319;63.5;467;67.5;304;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CRAD-B.ST;N/A;N/A;N/A
CRED-A.ST;CREADES A;63.2;121;71.8;175;66.1;246;67.0;180;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CRED-A.ST;N/A;N/A;N/A
CRWN;CROWN ENERGY;78.6;111;62.5;213;58.0;286;66.4;203;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CRWN;13;1DHN;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1DHN&marketid=13
CTM.ST;CATENA MEDIA;47.1;146;45.9;172;50.7;274;47.9;197;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CTM.ST;11;119018;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=119018&marketid=11
CTT.ST;CTT SYSTEMS;65.2;127;67.6;190;64.6;544;65.8;287;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CTT.ST;11;3081;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3081&marketid=11
CYXO.ST;CYXONE;56.5;144;48.8;187;50.9;233;52.1;188;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CYXO.ST;11;123240;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123240&marketid=11
DCAR-B.ST;D CARNEGIE & CO B;76.5;109;79.3;128;80.0;246;78.6;161;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DCAR-B.ST;N/A;N/A;N/A
DDM.ST;DDM HOLDING;52.6;110;51.4;145;51.3;152;51.8;135;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DDM.ST;11;102079;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=102079&marketid=11
DEDI.ST;DEDICARE AB;68.4;158;64.1;197;60.8;665;64.4;340;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DEDI.ST;11;81878;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=81878&marketid=11
DEFL-B.ST;DEFLAMO B;71.4;825;69.6;583;60.4;497;67.1;635;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DEFL-B.ST;N/A;N/A;N/A
DELARK.ST;DELARKA HOLDING;31.8;90;34.9;85;35.1;81;33.9;85;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DELARK.ST;11;98836;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=98836&marketid=11
DIAH.ST;DIADROM HOLDING;50.0;101;50.0;115;50.0;115;50.0;110;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIAH.ST;11;40563;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=40563&marketid=11
DIGN.ST;DIGNITANA;61.5;541;58.6;783;57.1;1001;59.1;775;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIGN.ST;11;66773;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=66773&marketid=11
DIOS.ST;DIOS FASTIGHETER;38.1;98;48.8;125;53.2;140;46.7;121;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIOS.ST;N/A;N/A;N/A
DIST.ST;DISTIT;66.7;122;63.0;133;57.1;272;62.3;175;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIST.ST;11;81545;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=81545&marketid=11
DIVI-B.NGM;DIVIDEND SWEDEN;64.7;158;65.4;295;72.2;1741;67.4;731;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIVI-B.NGM;N/A;N/A;N/A
DMYD-B.ST;DIAMYD MEDICAL B;60.0;114;48.1;95;44.8;160;51.0;123;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DMYD-B.ST;N/A;N/A;N/A
DOM.ST;DOMETIC GROUP;56.5;111;67.4;138;65.3;178;63.1;142;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DOM.ST;11;115619;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=115619&marketid=11
DOME.ST;DOME ENERGY;52.9;119;53.8;160;58.0;395;54.9;224;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DOME.ST;11;79783;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=79783&marketid=11
DORO.ST;DORO;76.9;120;66.7;148;71.0;262;71.5;176;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DORO.ST;11;896;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=896&marketid=11
DOXA.ST;DOXA;81.2;226;69.7;292;60.7;512;70.5;343;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DOXA.ST;11;100241;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=100241&marketid=11
DRIL.ST;DRILLCON;47.4;133;44.4;162;50.8;216;47.5;170;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DRIL.ST;11;35729;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=35729&marketid=11
DUNI.ST;DUNI;60.0;114;54.3;120;60.3;146;58.2;126;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DUNI.ST;11;49775;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=49775&marketid=11
DURC-B.ST;DUROC B;71.4;158;65.9;244;65.2;295;67.5;232;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DURC-B.ST;N/A;N/A;N/A
DUST.ST;DUSTIN GROUP;68.4;129;66.7;137;51.8;115;62.3;127;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DUST.ST;11;106202;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=106202&marketid=11
EAST.ST;EASTNINE;52.9;136;51.9;136;54.4;193;53.1;155;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EAST.ST;11;49615;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=49615&marketid=11
EDGE.ST;EDGEWARE;37.5;71;57.9;94;57.9;94;51.1;86;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EDGE.ST;11;129609;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=129609&marketid=11
EFFP.ST;EFFNETPLATTFORMEN;22.7;69;31.6;70;31.6;70;28.6;69;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EFFP.ST;11;131602;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=131602&marketid=11
EKTA-B.ST;ELEKTA B;80.0;130;72.7;161;70.0;240;74.2;177;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EKTA-B.ST;N/A;N/A;N/A
ELAN-B.ST;ELANDERS B;58.8;107;60.5;121;56.0;207;58.4;145;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELAN-B.ST;N/A;N/A;N/A
ELEC.ST;ELECTRA GRUPPEN;36.8;101;36.8;96;37.0;98;36.9;98;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELEC.ST;11;66436;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=66436&marketid=11
ELN.ST;ELLEN;52.6;262;51.5;269;44.2;153;49.4;228;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELN.ST;11;42472;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=42472&marketid=11
ELOS-B.ST;ELOS MEDTECH;33.3;83;39.0;80;49.3;101;40.5;88;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELOS-B.ST;N/A;N/A;N/A
ELTEL.ST;ELTEL;64.7;115;70.3;202;62.3;209;65.8;175;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELTEL.ST;11;106028;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=106028&marketid=11
ELUX-A.ST;ELECTROLUX A;71.4;108;75.0;132;73.4;178;73.3;139;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELUX-A.ST;N/A;N/A;N/A
ELUX-B.ST;ELECTROLUX B;52.6;102;58.1;112;64.4;143;58.4;119;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELUX-B.ST;N/A;N/A;N/A
ENDO.ST;ENDOMINES;65.0;117;61.1;229;61.8;495;62.6;280;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENDO.ST;11;41059;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=41059&marketid=11
ENEA.ST;ENEA;60.0;105;63.6;120;62.5;173;62.0;132;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENEA.ST;11;1149;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1149&marketid=11
ENERS.ST;ENERSIZE;71.4;112;68.8;121;68.8;121;69.7;118;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENERS.ST;11;139583;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=139583&marketid=11
ENG.ST;INTERNATIONELLA ENGELSKA SKOLAN I SV;56.2;129;46.4;133;50.0;140;50.9;134;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENG.ST;11;126934;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=126934&marketid=11
ENQ.ST;ENQUEST;65.0;172;64.1;183;64.6;942;64.6;432;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENQ.ST;11;75073;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=75073&marketid=11
ENRO.ST;ENIRO;66.7;304;64.1;424;62.5;592;64.4;440;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENRO.ST;11;11046;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=11046&marketid=11
ENRO-PREF.ST;ENIRO PRF;57.1;118;56.2;252;58.5;310;57.3;226;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENRO-PREF.ST;N/A;N/A;N/A
ENZY.ST;ENZYMATICA;50.0;139;56.8;153;54.1;223;53.6;171;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENZY.ST;11;82655;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=82655&marketid=11
EOID.NGM;EYEONID GROUP;75.0;174;68.4;884;73.9;2144;72.4;1067;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EOID.NGM;N/A;N/A;N/A
EOLU-B.ST;EOLUS VIND B;57.1;120;48.8;122;56.2;164;54.0;135;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EOLU-B.ST;N/A;N/A;N/A
EOS.ST;EOS RUSSIA;56.2;108;65.5;161;67.4;217;63.0;162;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EOS.ST;N/A;N/A;N/A
EPIS-B.ST;EPISURF MEDICALORD;56.2;130;65.6;195;66.7;486;62.8;270;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EPIS-B.ST;N/A;N/A;N/A
ERIC-A.ST;ERICSSON A;58.8;111;68.6;128;65.2;136;64.2;125;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ERIC-A.ST;N/A;N/A;N/A
ERIC-B.ST;ERICSSON B;80.0;125;75.8;167;62.7;206;72.8;166;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ERIC-B.ST;N/A;N/A;N/A
ESSITY-A.ST;ESSITY;39.1;99;40.0;98;40.0;98;39.7;98;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ESSITY-A.ST;N/A;N/A;N/A
ESSITY-B.ST;ESSITY;70.6;113;73.7;114;73.7;114;72.7;113;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ESSITY-B.ST;N/A;N/A;N/A
ETX.ST;ETRION;62.5;114;48.4;101;54.2;167;55.0;127;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ETX.ST;11;78547;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=78547&marketid=11
EVO.ST;EVOLUTION GAMING GROUP;60.9;119;61.5;175;68.4;349;63.6;214;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EVO.ST;11;107867;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=107867&marketid=11
EWRK.ST;EWORK GROUP;61.9;106;59.6;135;58.2;202;59.9;147;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EWRK.ST;11;72798;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=72798&marketid=11
EXPRS2.ST;EXPRES2ION BIOTECH HOLDING;59.1;247;57.9;289;55.4;286;57.5;274;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EXPRS2.ST;11;125185;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=125185&marketid=11
FABG.ST;FABEGE AB;78.9;124;54.1;134;58.4;202;63.8;153;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FABG.ST;11;861;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=861&marketid=11
FAG.ST;FAGERHULT;76.5;127;63.4;159;64.9;363;68.3;216;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FAG.ST;11;903;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=903&marketid=11
FEEL.ST;FEELGOOD SVENSKA;35.3;94;45.9;120;49.3;470;43.5;228;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FEEL.ST;11;5053;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5053&marketid=11
FIL.ST;FILO MINING;50.0;95;54.2;129;52.9;144;52.4;122;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FIL.ST;11;126319;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=126319&marketid=11
FING-B.ST;FINGERPRINT CARDS B;54.5;115;51.4;165;55.6;317;53.8;199;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FING-B.ST;N/A;N/A;N/A
FIRE.ST;FIREFLY;38.9;93;38.7;99;42.0;114;39.9;102;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FIRE.ST;11;59997;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=59997&marketid=11
FMM-B.ST;FM MATTSSON MORA GROUP;61.1;115;50.0;107;50.0;107;53.7;109;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FMM-B.ST;N/A;N/A;N/A
FNMA-PREF.ST;FNMA PREF PRF;33.3;96;33.3;104;44.7;166;37.1;122;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FNMA-PREF.ST;N/A;N/A;N/A
FOI-B.ST;FENIX OUTDOOR INTERNATIONAL;72.2;149;70.0;182;58.1;318;66.8;216;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FOI-B.ST;N/A;N/A;N/A
FOOT-PREF.ST;FOOTWAY GROUP PRF;33.3;90;29.6;89;29.6;89;30.8;89;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FOOT-PREF.ST;N/A;N/A;N/A
FPAR.ST;FAST PARTNER;61.1;110;57.9;127;64.7;268;61.2;168;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FPAR.ST;11;980;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=980&marketid=11
FPAR-PREF.ST;FASTPARTNER PRF;50.0;101;33.3;99;42.4;104;41.9;101;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FPAR-PREF.ST;N/A;N/A;N/A
FPIP.ST;FORMPIPE;50.0;99;50.0;122;46.8;165;48.9;128;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FPIP.ST;11;72565;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=72565&marketid=11
FRIM.ST;ROBERT FRIMAN INTERNATIONAL;;;;;;;;;;N/A;N/A;N/A
FRISQ.ST;FRISQ HOLDING;73.9;230;63.4;197;63.3;194;66.9;207;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FRISQ.ST;11;127937;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=127937&marketid=11
FRNT-B.NGM;FRONTOFFICE NORDIC B;60.0;94;47.5;88;54.2;249;53.9;143;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FRNT-B.NGM;N/A;N/A;N/A
G5EN.ST;G5 ENTERTAINMENT;57.9;156;57.1;260;62.3;1914;59.1;776;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=G5EN.ST;11;60158;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=60158&marketid=11
GAPW-B.ST;GAPWAVES;85.7;508;60.0;782;59.4;855;68.4;715;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GAPW-B.ST;N/A;N/A;N/A
GAPW-TO-1B.ST;GAPWAVES SUBSCR OPT;;;;;;;;;;N/A;N/A;N/A
GARO.ST;GARO;68.4;128;64.9;145;60.9;294;64.7;189;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GARO.ST;11;119990;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=119990&marketid=11
GCOR.ST;GAMING CORPS;82.4;247;55.8;194;60.6;524;66.3;321;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GCOR.ST;11;110080;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110080&marketid=11
GENO.ST;GENOVIS B;73.3;156;55.2;172;44.8;184;57.8;170;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GENO.ST;11;36315;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=36315&marketid=11
GETI-B.ST;GETINGE B;80.0;125;60.0;138;55.7;148;65.2;137;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GETI-B.ST;N/A;N/A;N/A
