NAMESHORT_SB;NAME_SB;MONTH_6_PERCENT;MONTH_6_VALUE;MONTH_12_PERCENT;MONTH_12_VALUE;MONTH_24_PERCENT;MONTH_24_VALUE;AVERAGE_PERCENT;AVERAGE_VALUE;URL_SB;VALUE_PERCENT_INDEX
SERT.ST;SERSTECH;55.6;316;58.8;493;57.6;8518;57.3;3109;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SERT.ST;178.1457
MAV.ST;MAVSHACK AB;83.3;174;73.5;1452;70.3;4932;75.7;2186;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MAV.ST;165.4802
ORTI-A.ST;ORTIVUS A;54.5;169;66.7;3731;66.7;3731;62.6;2543;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORTI-A.ST;159.1918
ANOT.ST;ANOTO GROUP;72.2;324;71;1331;69.7;4054;71;1903;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ANOT.ST;135.113
CE.ST;CORTUS ENERGY;57.1;155;65.6;540;67.2;5463;63.3;2052;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CE.ST;129.8916
SALT-B.ST;SALTX TECHNOLOGY HOLDING;53.8;140;58.1;579;56.5;5429;56.1;2049;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SALT-B.ST;114.9489
SAVOS.ST;SAVO SOLAR;52.9;119;63.3;1347;63.3;3851;59.8;1772;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAVOS.ST;105.9656
PRLD.NGM;PROLIGHT DIAGNOSTICS;66.7;1097;65;1593;65;1593;65.6;1427;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PRLD.NGM;93.6112
EOID.NGM;EYEONID GROUP;76.2;242;67.6;792;73.3;1920;72.4;984;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EOID.NGM;71.2416
TRANS.ST;TRANSTEMA;68.8;199;68.8;307;67.7;2512;68.4;1006;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TRANS.ST;68.8104
MEDR-B.ST;MEDIRATT B;66.7;145;65.4;247;71.2;2393;67.8;928;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MEDR-B.ST;62.9184
MYFC.ST;MYFC HOLDING;91.7;135;75;297;72.6;1873;79.8;768;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MYFC.ST;61.2864
AAC-TO1.ST;AAC MICROTEC SUBSCR OPT;87.5;637;69.2;900;69.2;900;75.3;812;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAC-TO1.ST;61.1436
TMG.ST;THE MARKETING GROUP;57.1;129;66.7;595;69.6;2001;64.5;908;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TMG.ST;58.566
SALT-TO-2B.ST;SALTX TECHNOLOGY HOLDING SUBSCR OPT;57.1;152;65.4;701;67.6;1644;63.4;832;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SALT-TO-2B.ST;52.7488
SPIFFX.ST;SPIFFX;69.2;539;70.4;755;56.4;1119;65.3;804;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SPIFFX.ST;52.5012
COPP-B.ST;COPPERSTONE RESOURCE;50;139;58.3;373;65.2;2177;57.8;896;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COPP-B.ST;51.7888
G5EN.ST;G5 ENTERTAINMENT;61.1;167;58.8;280;63.2;2055;61;834;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=G5EN.ST;50.874
GAPW-B.ST;GAPWAVES;85.7;508;60;782;59.4;855;68.4;715;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GAPW-B.ST;48.906
SANION.ST;SANIONA A/S;64.3;127;75;210;72.7;1598;70.7;645;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SANION.ST;45.6015
DEFL-B.ST;DEFLAMO B;78.6;825;73.9;583;62.5;497;71.7;635;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DEFL-B.ST;45.5295
BIM.ST;BIMOBJECT;61.1;139;65.8;229;69.1;1684;65.3;684;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIM.ST;44.6652
DIVI-B.NGM;DIVIDEND SWEDEN;58.8;139;64;279;71.7;1650;64.8;689;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIVI-B.NGM;44.6472
IBT-B.ST;INFANT BACTERIAL THERAPEUTICS;66.7;271;61.5;456;68.9;1275;65.7;667;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IBT-B.ST;43.8219
NXTMS.ST;NEXSTIM;56.2;101;60;163;67.3;1825;61.2;696;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NXTMS.ST;42.5952
DIGN.ST;DIGNITANA;53.8;541;55.2;783;55.6;1001;54.9;775;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIGN.ST;42.5475
SES.ST;SCAND ENVIRO SYS;58.3;479;57.1;608;53;1167;56.1;751;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SES.ST;42.1311
BOUL.ST;BOULE DIAGNOSTICS;75;125;71.9;211;75;1343;74;559;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BOUL.ST;41.366
ALIRA-B.ST;ALIGERA;50;479;58.3;861;58.3;861;55.5;733;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIRA-B.ST;40.6815
HELIO.ST;HELIOSPECTRA;77.8;325;55.3;461;51.4;1185;61.5;657;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HELIO.ST;40.4055
BRIG.ST;BRIGHTER AB;65;227;64.7;390;64.1;1159;64.6;592;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIG.ST;38.2432
CBA.ST;CYBAERO;62.5;118;69.7;567;65.2;1035;65.8;573;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CBA.ST;37.7034
PIEZO.ST;PIEZOMOTOR UPPSALA;78.6;363;71.9;529;65.2;654;71.9;515;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PIEZO.ST;37.0285
ACTI.ST;ACTIVE BIOTECH;66.7;228;79.3;322;70.5;962;72.2;504;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACTI.ST;36.3888
HMED.ST;HANSA MEDICAL;53.8;129;64.5;337;57.7;1355;58.7;607;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HMED.ST;35.6309
HEMC.ST;HEMCHECK SWEDEN;80;189;73.1;586;73.1;586;75.4;453;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEMC.ST;34.1562
CLAV.ST;CLAVISTER HOLDING;76.9;212;69.7;397;71.4;765;72.7;458;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLAV.ST;33.2966
STAR-A.ST;STARBREEZE A;76.9;226;76.7;286;73.7;772;75.8;428;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=STAR-A.ST;32.4424
GOMX.ST;GOMSPACE GROUP;85.7;133;80;353;79.5;702;81.7;396;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GOMX.ST;32.3532
AAP-B.ST;ARC AROMA;61.1;142;62.5;311;57.6;1091;60.4;514;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAP-B.ST;31.0456
VICO.ST;VICORE PHARMA HOLDING;75;165;64.3;301;53.6;954;64.3;473;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VICO.ST;30.4139
PROB.ST;PROBI AB;73.3;153;71.4;178;70.1;865;71.6;398;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PROB.ST;28.4968
47307.ST;NORDIC LEISURE;73.3;183;57.6;435;54;757;61.6;458;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=47307.ST;28.2128
ENQ.ST;ENQUEST;66.7;175;64.1;183;64.6;942;65.1;433;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENQ.ST;28.1883
ENRO.ST;ENIRO;65;304;63.2;425;62;593;63.4;440;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENRO.ST;27.896
NVP.ST;NEUROVIVE PHARMACEUTICAL;72.2;147;69;187;65.7;844;69;392;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NVP.ST;27.048
THQN-B.ST;THQ NORDIC;71.4;250;62.2;409;65.3;554;66.3;404;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=THQN-B.ST;26.7852
GTGS.NGM;GOLD TOWN GAMES;45.8;217;54.8;385;57.1;871;52.6;491;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GTGS.NGM;25.8266
HEMC-TO1.ST;HEMCHECK SWEDEN SUBSCR OPT;70;269;62.5;460;62.5;460;65;396;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEMC-TO1.ST;25.74
DOXA.ST;DOXA;86.7;227;71.9;293;61.7;513;73.4;344;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DOXA.ST;25.2496
RISEN.NGM;RIPASSO ENERGY;65;358;68.4;396;67.5;376;67;376;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RISEN.NGM;25.192
CEVI.ST;CELLAVISION;65.4;122;65.9;240;67.4;747;66.2;369;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CEVI.ST;24.4278
PCELL.ST;POWERCELL SWEDEN;71.4;130;70;322;62.1;628;67.8;360;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PCELL.ST;24.408
LAUR.ST;LAURITZ.COM;71.4;234;61.8;373;62;480;65.1;362;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LAUR.ST;23.5662
CI-B.ST;CELL IMPACT B;50;217;40;204;56.1;1026;48.7;482;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CI-B.ST;23.4734
SPOR.ST;SPORTAMORE;80;139;78.8;237;70.1;541;76.3;305;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SPOR.ST;23.2715
AAC.ST;AAC MICROTEC;73.3;233;58.1;434;58.1;434;63.2;367;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAC.ST;23.1944
SENS.ST;SENSYS GATSO;60.9;241;59.5;356;64.4;513;61.6;370;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SENS.ST;22.792
ISR.ST;ISR IMMUNE SYSTEM REGULATION HOLDING;60;305;65.2;382;65.2;382;63.5;356;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ISR.ST;22.606
CRAD-B.ST;C-RAD B;62.5;126;73.3;319;63.5;568;66.4;337;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CRAD-B.ST;22.3768
A1M.ST;A1M;58.3;157;60;308;61;641;59.8;368;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=A1M.ST;22.0064
MAG.ST;MAGNOLIA BOSTAD;81.2;185;70.6;252;62.5;489;71.4;308;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MAG.ST;21.9912
NICO.ST;NICOCCINO HOLD;50;433;55.6;406;54.2;394;53.3;411;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NICO.ST;21.9063
ARCT.ST;ARCTIC GOLD;57.9;282;51.4;268;53.6;654;54.3;401;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARCT.ST;21.7743
SOLT.ST;SOLTECH ENERGY;72.2;233;69.2;300;71.2;389;70.9;307;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SOLT.ST;21.7663
DEDI.ST;DEDICARE AB;66.7;158;63.2;196;60.3;664;63.4;339;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DEDI.ST;21.4926
HOYLU.ST;HOYLU;58.3;153;72.7;398;72.7;398;67.9;316;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HOYLU.ST;21.4564
CLS-B.ST;CLINICAL LASERTHERMIA SYSTEMS B;60;224;64.5;336;52.2;533;58.9;364;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLS-B.ST;21.4396
GWS.ST;GWS PRODUCTION;63.2;92;67.7;221;73;626;68;313;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GWS.ST;21.284
CASO.ST;CASSANDRA OIL;75;242;66.7;246;66.1;426;69.3;304;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CASO.ST;21.0672
GCOR.ST;GAMING CORPS;81.2;239;55.8;202;60;508;65.7;316;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GCOR.ST;20.7612
IMMU.ST;IMMUNICUM;83.3;164;68;242;62.9;465;71.4;290;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IMMU.ST;20.706
BRIG-TO3.ST;BRIGHTER SUBSCR OPT;68.4;212;66.7;355;66.7;355;67.3;307;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIG-TO3.ST;20.6611
ORX.ST;OREXO;82.4;207;64.9;232;66.2;426;71.2;288;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORX.ST;20.5056
RAY-B.ST;RAYSEARCH LABORATORIES B;82.4;162;71;196;64.6;483;72.7;280;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RAY-B.ST;20.356
BIOT.ST;BIOTAGE;63.6;163;71.1;279;65.3;470;66.7;304;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOT.ST;20.2768
ZAPLOX.ST;ZAPLOX;85.7;218;81.2;259;81.2;259;82.7;245;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ZAPLOX.ST;20.2615
XANO-B.ST;XANO INDUSTRI B;68.4;155;74.3;271;65.3;445;69.3;290;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XANO-B.ST;20.097
COGS.ST;COGNOSEC;75;168;57.7;283;58.3;494;63.7;315;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COGS.ST;20.0655
ABIGR.NGM;ABELCO INVESTMENT GROUP;78.6;256;75;264;75;264;76.2;261;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ABIGR.NGM;19.8882
KARO.ST;KARO PHARMA;73.3;144;71.4;188;69.3;498;71.3;276;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KARO.ST;19.6788
SF.ST;STILLFRONT GROUP;75;220;66.7;266;60.6;383;67.4;289;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SF.ST;19.4786
TOBII.ST;TOBII;75;182;68.8;241;66.7;382;70.2;268;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TOBII.ST;18.8136
HTRO.ST;HEXATRONIC GROUP;75;131;68.4;196;64.7;485;69.4;270;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HTRO.ST;18.738
WTX.ST;WILSON THERAPEUTICS SHS;56;172;60;226;60.7;553;58.9;317;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=WTX.ST;18.6713
CTT.ST;CTT SYSTEMS;62.5;131;66.7;190;64.1;545;64.4;288;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CTT.ST;18.5472
BAYN.ST;BAYN EUROPE;57.1;114;50;250;56.1;640;54.4;334;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BAYN.ST;18.1696
XBRANE.ST;XBRANE BIOPHARMA;66.7;168;52.6;284;61.7;428;60.3;293;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XBRANE.ST;17.6679
NEXAM.ST;NEXAM CHEMICAL HOLDING;64.7;216;54.8;210;57.9;469;59.1;298;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NEXAM.ST;17.6118
STW.ST;SEATWIRL;72.2;160;61.8;322;61.8;322;65.3;268;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=STW.ST;17.5004
EPIS-B.ST;EPISURF MEDICALORD;61.1;133;65.6;195;66.7;486;64.5;271;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EPIS-B.ST;17.4795
CHRO.ST;CHROMOGENICS;83.3;171;88.9;211;88.9;211;87;197;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CHRO.ST;17.139
MANTEX.ST;MANTEX;64.3;215;66.7;280;66.7;280;65.9;258;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MANTEX.ST;17.0022
ZETA.ST;ZETA DISPLAY;47.1;116;60.6;224;55.7;580;54.5;306;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ZETA.ST;16.677
SNM.ST;SHAMARAN PETROLEUM;75;146;73.1;193;60.9;374;69.7;237;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SNM.ST;16.5189
SSAB-B.ST;SSAB B;76.9;127;78.8;181;68.7;353;74.8;220;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SSAB-B.ST;16.456
ENDO.ST;ENDOMINES;65;117;61.1;229;61.4;439;62.5;261;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENDO.ST;16.3125
KDEV.ST;KAROLINSKA DEV;88.9;266;63.9;235;50;216;67.6;239;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KDEV.ST;16.1564
CMOTEC-B.ST;SCANDINAVIAN CHEMOTECH;57.1;231;64.3;280;63.3;277;61.6;262;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CMOTEC-B.ST;16.1392
IMNP.ST;IMMUNE PHARMACEUTICALS;58.3;166;58.3;225;55.6;452;57.4;281;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IMNP.ST;16.1294
CAMX.ST;CAMURUS;82.4;110;78.8;144;73.8;352;78.3;202;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAMX.ST;15.8166
EXPRS2.ST;EXPRES2ION BIOTECH HOLDING;59.1;247;57.9;289;55.4;286;57.5;274;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EXPRS2.ST;15.755
LIFCO-B.ST;LIFCO B;80;145;76.3;187;71.8;289;76;207;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LIFCO-B.ST;15.732
AXIC-A.ST;AXICHEM A;70.6;188;64.3;269;57.1;278;64;245;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AXIC-A.ST;15.68
PXXS-SDB.ST;PEARL EXPLORATION AND PROD GDR;69.2;127;54.3;176;49.2;513;57.6;272;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PXXS-SDB.ST;15.6672
CELLNK-B.ST;CELLINK;69.6;170;69.2;220;70.7;280;69.8;223;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CELLNK-B.ST;15.5654
DURC-B.ST;DUROC B;70;158;65;245;64.6;296;66.5;233;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DURC-B.ST;15.4945
FAG.ST;FAGERHULT;77.8;133;66.7;163;65.8;364;70.1;220;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FAG.ST;15.422
BESQ.ST;BESQAB PROJEKT & FASTIGHETER;83.3;145;64.3;180;63.3;333;70.3;219;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BESQ.ST;15.3957
AZA.ST;AVANZA BANK HOLDING;70.6;137;76.9;158;77.9;319;75.1;204;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AZA.ST;15.3204
OASM.ST;OASMIA PHARMACEUTICAL;47.4;163;48.6;235;54.5;516;50.2;304;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=OASM.ST;15.2608
HMS.ST;HMS NETWORKS;72.2;118;72.2;195;67.1;336;70.5;216;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HMS.ST;15.228
PREC.ST;PRECISE BIOMETRICS;41.2;80;52;127;52.9;731;48.7;312;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PREC.ST;15.1944
LIDDS.ST;LIDDS;64.7;189;63.3;302;51.6;264;59.9;251;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LIDDS.ST;15.0349
WINT.ST;WEST INTERNATIONAL;64.3;117;65.5;237;60.6;356;63.5;236;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=WINT.ST;14.986
VERI.ST;VERISEC;76.2;155;60.5;218;64.7;295;67.1;222;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VERI.ST;14.8962
SSAB-A.ST;SSAB A;64.7;127;70;178;66.2;358;67;221;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SSAB-A.ST;14.807
NEPA.ST;NEPA;71.4;149;62.5;229;57.4;316;63.8;231;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NEPA.ST;14.7378
CANTA.ST;CANTARGIA;64.3;158;70.4;240;62.5;276;65.7;224;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CANTA.ST;14.7168
RLS.ST;RUBICON LIFE SCIENCE;66.7;193;55.2;190;56.1;358;59.3;247;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RLS.ST;14.6471
IMMNOV.ST;IMMUNOVIA;47.1;117;55.9;128;65.8;533;56.3;259;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IMMNOV.ST;14.5817
CFISH.ST;CRUNCHFISH;50;141;50;352;50;378;50;290;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CFISH.ST;14.5
JLT.ST;JLT MOBILE;59.1;114;63.9;175;62.2;413;61.7;234;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=JLT.ST;14.4378
FOI-B.ST;FENIX OUTDOOR INTERNATIONAL;72.2;149;70;182;58.1;318;66.8;216;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FOI-B.ST;14.4288
MCAP.ST;MEDCAP;66.7;174;67.9;215;59.3;280;64.6;223;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MCAP.ST;14.4058
TALK.ST;TALKPOOL;66.7;186;67.6;197;66.1;259;66.8;214;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TALK.ST;14.2952
ORTI-B.ST;ORTIVUS B;57.1;140;61.8;250;55.1;345;58;245;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORTI-B.ST;14.21
BINV.ST;BIOINVENT INTERNATIONAL;52.9;136;62.1;187;63.9;391;59.6;238;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BINV.ST;14.1848
MINEST.ST;MINESTO;66.7;176;54.2;177;56.6;364;59.2;239;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MINEST.ST;14.1488
LEO.ST;LEOVEGAS;77.8;146;65;253;50;260;64.3;219;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LEO.ST;14.0817
KAMBI.ST;KAMBI GROUP;73.3;142;64.9;203;63.6;276;67.3;207;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KAMBI.ST;13.9311
ATIC.ST;ACTIC GROUP;83.3;176;75;179;75;179;77.8;178;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATIC.ST;13.8484
AUTO.ST;VA AUTOMOTIVE;53.3;212;58.8;237;55.2;296;55.8;248;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AUTO.ST;13.8384
ANNX.ST;ANNEXIN PHARMACEUTICALS;68.8;176;66.7;220;66.7;220;67.4;205;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ANNX.ST;13.817
VSSAB-B.ST;VIKING SUPPLY SHIPS;76.5;217;48.6;159;50;333;58.4;236;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VSSAB-B.ST;13.7824
SKIS-B.ST;SKISTAR B;86.7;125;73.5;188;57.7;254;72.6;189;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SKIS-B.ST;13.7214
FRISQ.ST;FRISQ HOLDING;72;232;63.4;197;63.3;194;66.2;207;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FRISQ.ST;13.7034
ORIF.ST;ORIFLAME HOLDING;47.6;129;53.7;154;55.8;488;52.4;257;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORIF.ST;13.4668
EKTA-B.ST;ELEKTA B;82.4;135;72.7;161;70.4;242;75.2;179;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EKTA-B.ST;13.4608
HOVD.ST;HOVDING SVERIGE;64.7;111;57.1;132;52.2;454;58;232;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HOVD.ST;13.456
VITR.ST;VITROLIFE;57.9;102;57.6;157;65.8;408;60.4;222;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VITR.ST;13.4088
KOBR MTFB;KOPPARBERGS B;66.7;150;59;180;59.7;319;61.8;216;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KOBR MTFB;13.3488
NOLA-B.ST;NOLATO B;52.4;159;53.7;211;64.8;332;57;234;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NOLA-B.ST;13.338
TCT.ST;TCT TECH SWEDEN;87.5;146;59.4;115;54.7;333;67.2;198;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TCT.ST;13.3056
BERG-B.ST;BERGMAN & BEVING;76.5;134;62.2;177;65.8;274;68.2;195;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BERG-B.ST;13.299
PRIME.ST;PRIME LIVING;90;121;65;140;63.6;287;72.9;182;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PRIME.ST;13.2678
POLY.ST;POLYPLANK;66.7;119;68.2;131;62.2;354;65.7;201;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=POLY.ST;13.2057
CRWN;CROWN ENERGY;78.6;111;62.5;213;57.1;274;66.1;199;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CRWN;13.1539
BUFAB.ST;BUFAB;71.4;122;63.4;169;63.3;306;66;199;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BUFAB.ST;13.134
LOOM-B.ST;LOOMIS B;64.7;139;63.6;159;70.1;296;66.1;198;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LOOM-B.ST;13.0878
EVO.ST;EVOLUTION GAMING GROUP;59.1;115;60.5;171;67.9;339;62.5;208;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EVO.ST;13
TETY.ST;TETHYS OIL;57.9;123;63.6;181;63.1;331;61.5;211;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TETY.ST;12.9765
BEGR.ST;BE GROUP;52.6;122;56.8;209;55.4;379;54.9;236;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BEGR.ST;12.9564
ENRO-PREF.ST;ENIRO PRF;57.1;118;56.2;252;58.5;310;57.3;226;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENRO-PREF.ST;12.9498
MSAB-B.ST;MICRO SYSTEMATION B;54.5;137;56.5;181;58.6;366;56.5;228;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MSAB-B.ST;12.882
