NAMESHORT_SB;NAME_SB;MONTH_6_PERCENT;MONTH_6_VALUE;MONTH_12_PERCENT;MONTH_12_VALUE;MONTH_24_PERCENT;MONTH_24_VALUE;AVERAGE_PERCENT;AVERAGE_VALUE;URL_SB;VALUE_PERCENT_INDEX
HUSQ-B.ST;HUSQVARNA B;42.9;107;48.8;119;50.6;172;47.4;132;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HUSQ-B.ST;6.2568
PRCO-B.ST;PRECIO FISHBONE B;50;105;60;110;58.9;118;56.3;111;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PRCO-B.ST;6.2493
TRENT.ST;TRENTION;66.7;109;61.1;118;42.3;104;56.7;110;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TRENT.ST;6.237
ATORX.ST;ALLIGATOR BIOSCIENCE;54.2;122;52.4;115;52.3;115;53;117;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATORX.ST;6.201
SAXG.ST;SAXLUND GROUP;35;101;36.4;137;50;223;40.5;153;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAXG.ST;6.1965
NGS.ST;NGS GROUP;58.8;101;51.5;111;52.3;130;54.2;114;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NGS.ST;6.1788
CAST.ST;CASTELLUM;52.6;106;54.1;121;50.6;125;52.4;117;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAST.ST;6.1308
SKA-B.ST;SKANSKA B;50;107;52.5;114;52.4;133;51.6;118;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SKA-B.ST;6.0888
SINT.ST;SINTERCAST;80;121;45.2;101;45.6;96;56.9;106;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SINT.ST;6.0314
SAGA-PREF.ST;SAGAX PRF;52.9;95;64.5;104;58;110;58.5;103;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAGA-PREF.ST;6.0255
BMAX.ST;BYGGMAX GROUP;44.4;101;52.8;119;53.9;137;50.4;119;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BMAX.ST;5.9976
CLAS-B.ST;CLAS OHLSON B;54.2;99;51.2;113;49.4;137;51.6;116;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLAS-B.ST;5.9856
GUGEO.NGM;GUIDELINE GEO;54.5;128;39.1;138;40.4;135;44.7;133;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GUGEO.NGM;5.9451
