NAMESHORT_SB;NAME_SB;PRICE;MONTH_6_PERCENT_CORRECT;MONTH_6_VALUE;MONTH_12_PERCENT_CORRECT;MONTH_12_VALUE;MONTH_24_PERCENT_CORRECT;MONTH_24_VALUE;AVERAGE_PERCENT_CORRECT;AVERAGE_VALUE;BUYS_24_PERCENT;BUY_AVERAGE_PERCENT_CHANGE;BUY_MEDIAN_PERCENT_CHANGE;BUYS_TOTAL;URL_SB;MARKET_ID;IDENTIFIER_ID;URL_NN
AIK-B.NGM;AIK FOTBALL B;2.25;27.8;97;44.1;100;41.3;125;37.7;107;36.7;1.3;-0.26;31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AIK-B.NGM;13;2X7;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=2X7&marketid=13
AINO.ST;AINO HEALTH;4.26;61.5;181;51.6;228;48.6;198;53.9;202;41.2;0.36;-0.6;17;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AINO.ST;11;130478;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=130478&marketid=11
AKEL-PREF.ST;AKELIUS RESIDENTIAL PREF PRF;333.0;64.7;102;41.0;99;43.3;109;49.7;103;57.6;0.42;0.15;33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AKEL-PREF.ST;11;101200;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101200&marketid=11
ALCA.ST;ALCADON GROUP;45.2;88.9;132;64.3;155;60.5;175;71.2;154;65.0;2.7;2.25;21;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALCA.ST;11;126683;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=126683&marketid=11
ALELIO.ST;ALELION ENERGY SYSTEMS;7.74;80.0;157;56.2;145;56.5;127;64.2;143;50.0;2.38;-0.77;23;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALELIO.ST;11;123692;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123692&marketid=11
ALELIO-TO-1.ST;ALELION ENERGY SYSTEMS SUBSCR OPT;;;;;;;;;;;;;;;N/A;N/A;N/A
ALFA.ST;ALFA LAVAL;197.85;68.4;111;51.4;113;54.9;151;58.2;125;67.6;1.63;0.78;35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALFA.ST;11;18634;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=18634&marketid=11
ALIF-B.ST;ADDLIFE;171.0;40.0;86;55.0;87;56.8;148;50.6;107;61.1;2.11;0.59;37;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIF-B.ST;11;120190;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=120190&marketid=11
ALIG.ST;ALIMAK GROUP;130.0;68.4;110;66.7;128;64.6;223;66.6;153;71.9;2.96;2.14;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIG.ST;11;110204;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110204&marketid=11
ALIRA-B.ST;ALIGERA;4.3;50.0;479;58.3;861;58.3;861;55.5;733;45.5;22.01;-1.12;12;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIRA-B.ST;N/A;N/A;N/A
ALIV-SDB.ST;AUTOLIV SDR;1225.0;68.2;125;69.4;163;64.1;230;67.2;172;60.5;2.23;0.99;39;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIV-SDB.ST;11;47;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=47&marketid=11
ALLG-B.ST;ALLGON B;8.14;70.0;110;59.1;119;52.0;220;60.4;149;41.7;1.82;-1.4;25;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALLG-B.ST;11;28738;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=28738&marketid=11
ALM-PREF.ST;ALM PRF;104.5;62.5;103;55.0;106;40.0;100;52.5;103;41.7;0.46;0.0;25;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALM-PREF.ST;11;88573;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=88573&marketid=11
ALON-B.NGM;ARCHELON;0.153;75.0;117;71.4;128;63.2;181;69.9;142;60.7;2.35;1.72;28;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALON-B.NGM;N/A;N/A;N/A
AM1S.ST;AHLSTROM-MUNKSJO;171.6;34.6;94;39.1;107;51.3;202;41.7;134;52.6;2.66;0.42;39;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AM1S.ST;11;104597;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=104597&marketid=11
AMAST.ST;AMSTEN HOLDING B;3.62;60.0;114;48.4;112;49.2;165;52.5;130;51.6;2.03;0.34;31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AMAST.ST;11;53228;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=53228&marketid=11
AMAST-PREF.ST;AMASTEN HOLDING PREF SHS;290.0;47.6;92;48.7;93;46.4;106;47.6;97;44.1;0.48;0.0;34;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AMAST-PREF.ST;11;101778;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101778&marketid=11
AMBEA.ST;AMBEA;64.1;52.6;104;58.1;108;58.1;108;56.3;106;40.0;0.73;0.0;15;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AMBEA.ST;11;135504;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=135504&marketid=11
ANNX.ST;ANNEXIN PHARMACEUTICALS;5.6;64.7;175;63.2;218;63.2;218;63.7;203;66.7;5.22;0.56;9;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ANNX.ST;11;136293;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=136293&marketid=11
ANOD-B.ST;ADDNODE GROUP;85.0;50.0;112;52.9;138;56.5;202;53.1;150;60.0;2.85;0.82;31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ANOD-B.ST;11;3887;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3887&marketid=11
ANOT.ST;ANOTO GROUP;4.778;64.7;300;67.7;1089;69.7;4314;67.4;1901;60.6;8.16;1.27;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ANOT.ST;11;5110;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5110&marketid=11
AOI.ST;AFRICA OIL;8.07;57.1;116;52.3;109;51.2;147;53.5;124;37.5;1.7;-0.31;41;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AOI.ST;11;77948;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=77948&marketid=11
AQ.ST;AROS QUALITY;172.0;52.6;103;62.2;114;59.7;170;58.2;129;60.5;1.45;0.72;38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AQ.ST;11;13236;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=13236&marketid=11
ARCM.ST;ARCAM;345.0;63.6;105;59.3;107;60.3;294;61.1;168;58.1;4.68;0.47;31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARCM.ST;N/A;N/A;N/A
ARCOMA.ST;ARCOMA;7.4;52.4;137;51.5;158;43.4;130;49.1;141;46.2;1.69;-0.12;24;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARCOMA.ST;11;103617;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=103617&marketid=11
ARCT.ST;ARCTIC GOLD;0.633;56.2;138;50.0;243;52.9;593;53.0;324;44.1;4.6;-0.92;35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARCT.ST;11;67373;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=67373&marketid=11
ARISE.ST;ARISE AB;12.6;47.1;120;58.3;163;55.1;244;53.5;175;50.0;1.79;0.12;34;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARISE.ST;11;74570;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=74570&marketid=11
AROC.ST;AROCELL;3.17;68.8;89;53.5;112;52.0;136;58.1;112;37.8;0.5;-1.55;37;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AROC.ST;17;AROC;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=AROC&marketid=17
ARP.ST;ARCTIC PAPER;9.16;66.7;134;60.6;150;61.2;209;62.8;164;57.6;1.89;0.65;33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARP.ST;11;91264;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=91264&marketid=11
ASSA-B.ST;ASSA ABLOY B;184.35;45.8;99;44.7;107;53.9;124;48.1;110;59.5;1.0;0.78;38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ASSA-B.ST;11;402;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=402&marketid=11
ATCO-A.ST;ATLAS COPCO A;363.7;69.2;108;63.6;120;56.5;166;63.1;131;73.5;1.84;1.33;34;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATCO-A.ST;11;45;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=45&marketid=11
ATCO-B.ST;ATLAS COPCO B;325.3;64.7;104;58.5;123;55.8;158;59.7;128;71.1;1.76;1.28;38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATCO-B.ST;11;46;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=46&marketid=11
ATIC.ST;ACTIC GROUP;39.5;82.4;171;75.0;179;75.0;179;77.5;176;72.7;2.82;1.74;12;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATIC.ST;11;135947;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=135947&marketid=11
ATORX.ST;ALLIGATOR BIOSCIENCE;24.25;54.5;122;52.4;115;52.3;115;53.1;117;42.9;0.54;-0.1;22;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATORX.ST;11;129022;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=129022&marketid=11
ATRLJ-B.ST;ATRIUM LJUNGBERG B;130.0;72.7;105;58.6;104;62.3;151;64.5;120;66.7;1.76;1.38;30;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATRLJ-B.ST;11;1011;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1011&marketid=11
ATT.ST;ATTENDO;81.55;50.0;96;55.3;113;61.9;173;55.7;127;65.9;1.61;1.03;42;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATT.ST;11;115956;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=115956&marketid=11
AUR.ST;AURIANT MINING;1.965;52.6;94;45.7;50;56.2;462;51.5;202;45.7;7.04;-0.78;36;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AUR.ST;11;76848;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=76848&marketid=11
AUTO.ST;VA AUTOMOTIVE;0.2;43.8;117;57.1;148;53.3;170;51.4;145;37.9;-0.76;-0.55;30;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AUTO.ST;11;104396;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=104396&marketid=11
AVEG-B.ST;AVEGA GROUP ser. B;;;;;;;;;;;;;;;N/A;N/A;N/A
AVEN.ST;AVENSIA;8.18;45.5;124;51.9;123;50.8;199;49.4;148;56.7;2.7;0.79;30;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AVEN.ST;11;5101;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5101&marketid=11
AVT-B.ST;AVTECH SWEDEN;3.0;75.0;116;66.7;214;51.3;172;64.3;167;45.9;1.69;-0.77;38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AVT-B.ST;11;86868;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=86868&marketid=11
AXFO.ST;AXFOOD;147.2;52.4;116;38.3;105;49.4;123;46.7;114;53.7;0.66;0.43;41;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AXFO.ST;11;4590;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=4590&marketid=11
AXIC-A.ST;AXICHEM A;14.45;70.6;211;68.0;309;59.2;332;65.9;284;43.5;4.77;-1.55;22;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AXIC-A.ST;11;80256;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=80256&marketid=11
AXIS.ST;AXIS;332.0;33.3;98;46.7;105;48.4;120;42.8;107;40.0;0.66;-0.42;31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AXIS.ST;11;5150;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5150&marketid=11
AZA.ST;AVANZA BANK HOLDING;464.2;66.7;138;76.9;163;76.9;321;73.5;207;84.2;2.76;1.49;39;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AZA.ST;11;988;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=988&marketid=11
AZN.ST;ASTRAZENECA;555.9;66.7;108;63.3;148;64.6;236;64.9;164;56.2;2.62;1.61;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AZN.ST;11;3524;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3524&marketid=11
B3IT.ST;B3IT MANAGEMENT;83.8;42.1;94;43.9;99;44.4;112;43.5;101;45.2;0.69;-0.3;31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=B3IT.ST;11;123339;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123339&marketid=11
BACTI-B.ST;BACTIGUARD HOLD;21.7;50.0;109;50.0;148;56.2;256;52.1;171;64.5;3.26;1.82;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BACTI-B.ST;11;101601;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101601&marketid=11
BALD-B.ST;FASTIGHETS BALDER B;212.2;66.7;114;60.0;123;56.2;153;61.0;130;63.6;1.11;0.59;44;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BALD-B.ST;11;4212;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=4212&marketid=11
BALD-PREF.ST;FASTIGHETS AB BALDER PRF;;;;;;;;;;;;;;;N/A;N/A;N/A
BAYN.ST;BAYN EUROPE;1.58;60.0;146;51.4;326;56.7;816;56.0;429;48.5;4.75;0.0;33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BAYN.ST;11;103618;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=103618&marketid=11
BEGR.ST;BE GROUP;50.5;58.8;118;57.1;192;56.9;379;57.6;229;65.6;4.6;2.74;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BEGR.ST;11;37309;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=37309&marketid=11
BEIA-B.ST;BEIJER ALMA B;243.5;57.1;108;60.0;148;53.5;162;56.9;139;54.3;1.89;0.39;35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BEIA-B.ST;11;875;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=875&marketid=11
BEIJ-B.ST;BEIJER REF AB;328.0;55.6;127;65.6;146;63.2;172;61.5;148;75.8;2.15;1.36;34;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BEIJ-B.ST;11;792;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=792&marketid=11
BELE.ST;BEIJER ELECTRONICS GROUP;28.5;81.2;126;61.8;157;64.5;191;69.2;158;56.7;1.67;0.62;31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BELE.ST;11;5081;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5081&marketid=11
BERG-B.ST;BERGMAN & BEVING;87.4;76.5;134;63.9;180;65.8;274;68.7;196;63.9;2.22;1.63;36;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BERG-B.ST;11;793;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=793&marketid=11
BESQ.ST;BESQAB PROJEKT & FASTIGHETER;114.2;80.0;133;64.3;180;63.3;333;69.2;215;51.7;2.71;1.14;30;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BESQ.ST;11;101207;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101207&marketid=11
BETS-B.ST;BETSSON B;68.14;63.2;118;68.3;153;65.1;198;65.5;156;65.9;1.68;0.82;41;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BETS-B.ST;11;5121;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5121&marketid=11
BILI-A.ST;BILIA A;75.95;50.0;110;47.4;125;51.2;160;49.5;131;50.0;1.01;0.0;41;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BILI-A.ST;11;794;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=794&marketid=11
BILL.ST;BILLERUD KORSNAS;125.35;26.7;88;40.5;91;57.1;119;41.4;99;55.3;0.86;0.39;38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BILL.ST;11;14922;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=14922&marketid=11
BIM.ST;BIMOBJECT;36.7;50.0;131;62.5;221;67.1;1627;59.9;659;70.6;9.06;3.7;35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIM.ST;11;99204;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=99204&marketid=11
BINV.ST;BIOINVENT INTERNATIONAL;1.9;56.2;114;60.7;160;65.0;381;60.6;218;69.0;3.76;2.42;30;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BINV.ST;11;13348;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=13348&marketid=11
BIOG-B.ST;BIOGAIA B;379.5;52.6;131;54.3;161;61.2;248;56.0;180;66.7;2.95;1.37;33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOG-B.ST;11;959;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=959&marketid=11
BIOS.ST;BIOSERVO TECHNOLOGIES;17.35;45.8;90;50.0;117;50.0;117;48.6;108;41.7;2.47;-0.57;13;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOS.ST;11;138312;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=138312&marketid=11
BIOT.ST;BIOTAGE;77.7;57.1;158;66.7;275;63.0;464;62.3;299;66.7;4.74;2.04;36;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOT.ST;11;5209;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5209&marketid=11
BIOVIC-B.ST;BIOVICA INTERNATIONAL;10.5;66.7;109;71.4;163;71.4;163;69.8;145;60.0;4.71;1.28;10;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOVIC-B.ST;11;135531;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=135531&marketid=11
BMAX.ST;BYGGMAX GROUP;48.25;40.0;101;50.0;118;52.6;136;47.5;118;40.5;1.08;-0.24;38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BMAX.ST;11;75712;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=75712&marketid=11
BOL.ST;BOLIDEN;294.3;71.4;125;70.3;121;61.0;209;67.6;151;67.5;2.32;0.68;41;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BOL.ST;11;15285;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=15285&marketid=11
BONAV-A.ST;BONAVA A;121.5;76.5;114;62.5;122;58.7;149;65.9;128;58.1;1.43;0.73;31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BONAV-A.ST;11;122974;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=122974&marketid=11
BONAV-B.ST;BONAVA B;122.5;61.9;100;53.7;110;57.1;140;57.6;116;64.5;1.25;0.72;31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BONAV-B.ST;11;122975;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=122975&marketid=11
BONG.ST;BONG;1.14;46.7;107;42.4;125;43.3;151;44.1;127;39.4;1.44;-0.61;33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BONG.ST;11;892;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=892&marketid=11
BOOZT.ST;BOOZT;76.0;53.3;132;56.2;133;56.2;133;55.2;132;42.9;2.09;0.33;8;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BOOZT.ST;11;138479;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=138479&marketid=11
BORG.ST;BJORN BORG;26.8;57.1;125;60.0;139;54.5;224;57.2;162;46.9;2.02;0.0;33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BORG.ST;11;40286;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=40286&marketid=11
BOUL.ST;BOULE DIAGNOSTICS;278.0;76.9;125;73.5;212;75.3;1339;75.2;558;75.0;7.38;2.8;36;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BOUL.ST;11;82889;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=82889&marketid=11
BRAV.ST;BRAVIDA HOLDING;59.9;73.7;115;62.2;113;49.4;106;61.8;111;52.5;0.71;-0.06;40;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRAV.ST;11;113960;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=113960&marketid=11
BRE2.ST;BREDBAND2 I SKANDINAVIEN;1.41;47.1;117;40.7;114;43.9;151;43.9;127;57.1;2.26;0.81;28;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRE2.ST;11;34627;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=34627&marketid=11
BRG-B.ST;BERGS TIMBER B;2.6;41.2;95;51.4;111;46.7;113;46.4;106;48.6;0.92;0.0;37;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRG-B.ST;11;891;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=891&marketid=11
BRIG.ST;BRIGHTER AB;8.4;57.9;139;62.9;408;63.1;1214;61.3;587;59.4;9.11;4.61;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIG.ST;11;86375;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=86375&marketid=11
BRIG-TO3.ST;BRIGHTER SUBSCR OPT;6.0;61.9;211;60.9;353;60.9;353;61.2;305;50.0;17.14;0.77;11;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIG-TO3.ST;N/A;N/A;N/A
