NAMESHORT_SB;NAME_SB;PRICE;MONTH_6_PERCENT_CORRECT;MONTH_6_VALUE;MONTH_12_PERCENT_CORRECT;MONTH_12_VALUE;MONTH_24_PERCENT_CORRECT;MONTH_24_VALUE;AVERAGE_PERCENT_CORRECT;AVERAGE_VALUE;BUYS_24_PERCENT;BUY_AVERAGE_PERCENT_CHANGE;BUY_MEDIAN_PERCENT_CHANGE;BUYS_TOTAL;URL_SB;MARKET_ID;IDENTIFIER_ID;URL_NN
BRIN-B.ST;BRINOVA FASTIGHETER;12.0;26.7;91;36.0;95;40.7;104;34.5;96;23.1;0.66;-0.73;13;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIN-B.ST;11;127241;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=127241&marketid=11
BRIOX.NGM;BRIOX;3.9;35.7;96;46.4;158;35.9;91;39.3;115;32.3;0.38;-3.5;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIOX.NGM;N/A;N/A;N/A
BTS-B.ST;BTS GROUP B;106.5;64.7;105;54.1;96;49.3;105;56.0;102;56.2;1.05;0.27;33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BTS-B.ST;11;13288;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=13288&marketid=11
BUFAB.ST;BUFAB;110.0;72.7;123;67.5;170;64.1;279;68.1;190;73.7;2.67;0.98;39;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BUFAB.ST;11;99667;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=99667&marketid=11
BULTEN.ST;BULTEN;110.6;50.0;107;69.4;151;59.5;192;59.6;150;72.2;2.04;1.74;37;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BULTEN.ST;11;82239;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=82239&marketid=11
BURE.ST;BURE EQUITY;92.9;50.0;96;58.8;132;55.3;200;54.7;142;54.1;2.48;0.64;38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BURE.ST;11;800;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=800&marketid=11
BUSER.ST;BAMBUSER;0.85;71.4;130;72.0;136;72.0;136;71.8;134;45.5;-1.44;0.16;12;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BUSER.ST;11;136907;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=136907&marketid=11
BWL.ST;BRINGWELL;;;;;;;;;;;;;;;N/A;N/A;N/A
BYGGP.ST;BYGGPARTNER I DALARNA HOLDING;34.4;55.6;127;51.1;119;49.0;118;51.9;121;54.2;0.6;-0.11;24;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BYGGP.ST;11;129518;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=129518&marketid=11
CAMX.ST;CAMURUS;112.0;83.3;117;81.2;156;74.2;373;79.6;215;75.0;4.22;2.0;33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAMX.ST;11;115961;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=115961&marketid=11
