NAMESHORT_SB;NAME_SB;PRICE;MONTH_6_PERCENT_CORRECT;MONTH_6_VALUE;MONTH_12_PERCENT_CORRECT;MONTH_12_VALUE;MONTH_24_PERCENT_CORRECT;MONTH_24_VALUE;AVERAGE_PERCENT_CORRECT;AVERAGE_VALUE;BUYS_TOTAL;BUYS_24_PERCENT_CORRECT;BUY_AVERAGE_PERCENT_CHANGE;BUY_MEDIAN_PERCENT_CHANGE;PER_CHANGE_HIGHEST_THROUGH_CURRENT;PRICE_CHANGE_PERCENT_AVERAGE;URL_SB;MARKET_ID;IDENTIFIER_ID;URL_NN
SWEC-B.ST;SWECO B;181.4;81.8;138;72.7;153;65.9;219;73.5;170;41;75;1,71;0,78;27,17;2,15;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SWEC-B.ST;11;1062;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1062&marketid=11
WINT.ST;WEST INTERNATIONAL;12.95;66.7;117;65.5;221;60.0;323;64.1;220;32;75;4,01;1,7;7,78;4,08;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=WINT.ST;11;43370;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=43370&marketid=11
PDX.ST;PARADOX INTERACTIVE;133.8;64.7;156;64.7;188;57.9;198;62.4;180;28;75;3,18;2,8;6,19;3,25;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PDX.ST;11;123234;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123234&marketid=11
EVO.ST;EVOLUTION GAMING GROUP;556.5;63.6;119;62.5;178;68.8;355;65.0;217;40;74,4;3,54;2,36;8,92;3,91;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EVO.ST;11;107867;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=107867&marketid=11
ALELIO-TO-1.ST;ALELION ENERGY SYSTEMS SUBSCR OPT;;;;;;;;;;;;;;;;;N/A;N/A;N/A
HMS.ST;HMS NETWORKS;120.2;73.7;121;74.3;187;67.6;343;71.9;217;35;74,3;3,58;2,46;16,62;3,58;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HMS.ST;11;43302;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=43302&marketid=11
INDU-C.ST;INDUSTRIVARDEN C;196.9;78.6;109;65.6;124;61.1;169;68.4;134;36;74,3;1,88;1,32;8,51;2,07;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INDU-C.ST;11;143;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=143&marketid=11
KLOV-B.ST;KLOVERN B;10.47;68.4;98;74.2;134;69.8;184;70.8;138;31;74,2;2,15;0,81;15,45;2,83;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KLOV-B.ST;11;104594;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=104594&marketid=11
ALIRA-B.ST;ALIGERA;;;;;;;;;;;;;;;;;N/A;N/A;N/A
XACT-SMABOLAG.ST;XACT SVENSKA SMABOLAG UCITS ETF;139.1;85.7;108;67.7;119;65.6;145;73.0;124;32;74,2;1,31;0,94;5,13;1,44;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACT-SMABOLAG.ST;N/A;N/A;N/A
EOID.NGM;EYEONID GROUP;11.6;71.4;184;66.7;931;72.3;2259;70.1;1124;23;73,9;15,33;7,36;49,8;13,02;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EOID.NGM;N/A;N/A;N/A
EOS.ST;EOS RUSSIA;15.3;52.9;108;63.3;161;66.0;217;60.7;162;23;73,9;4,11;1,9;0;4,09;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EOS.ST;11;41064;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=41064&marketid=11
ICA.ST;ICA GRUPPEN;299.8;66.7;98;69.4;109;61.6;121;65.9;109;43;73,8;0,84;0,67;10,76;1,49;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ICA.ST;11;32443;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=32443&marketid=11
SEYE.ST;SMART EYE;39.5;77.3;85;69.2;106;70.0;109;72.2;100;20;73,7;1,89;1,52;32,35;4,76;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SEYE.ST;11;128635;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=128635&marketid=11
BUFAB.ST;BUFAB;108.2;72.7;123;67.5;170;64.1;279;68.1;190;39;73,7;2,67;0,98;1,22;2,92;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BUFAB.ST;11;99667;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=99667&marketid=11
EKTA-B.ST;ELEKTA B;88.04;80.0;130;72.7;161;70.6;242;74.4;177;33;73,5;2,5;0,89;10,11;3,16;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EKTA-B.ST;11;806;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=806&marketid=11
NOLA-B.ST;NOLATO B;618.0;52.4;159;53.8;211;65.2;333;57.1;234;34;73,5;4,21;2,15;0;3,6;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NOLA-B.ST;11;923;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=923&marketid=11
ANNX.ST;ANNEXIN PHARMACEUTICALS;5.6;64.7;175;63.2;218;63.2;218;63.7;203;9;66,7;5,22;0,56;92,38;11,26;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ANNX.ST;11;136293;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=136293&marketid=11
HTRO.ST;HEXATRONIC GROUP;61.2;72.2;140;69.2;217;64.3;520;68.6;292;35;73,5;5,55;1,88;31,14;5,23;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HTRO.ST;11;82816;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=82816&marketid=11
ATCO-A.ST;ATLAS COPCO A;361.1;69.2;108;63.6;120;56.5;166;63.1;131;34;73,5;1,84;1,33;7,4;2,28;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATCO-A.ST;11;45;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=45&marketid=11
ATIC.ST;ACTIC GROUP;41.7;82.4;153;76.0;179;76.0;179;78.1;170;12;72,7;2,82;1,74;11,5;3,67;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATIC.ST;11;135947;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=135947&marketid=11
XMR.ST;XMREALITY;7.6;70.0;121;73.9;167;73.9;167;72.6;151;11;72,7;3,05;1,75;59,78;6,21;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XMR.ST;11;136337;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=136337&marketid=11
ARCM.ST;ARCAM;;;;;;;;;;;;;;;;;N/A;N/A;N/A
ISR.ST;ISR IMMUNE SYSTEM REGULATION HOLDING;10.15;66.7;305;69.6;382;69.6;382;68.6;356;11;72,7;13,22;11,84;61,29;15,6;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ISR.ST;11;135384;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=135384&marketid=11
KINV-A.ST;KINNEVIK A;314.0;69.2;112;63.6;143;67.2;206;66.7;153;33;72,7;2,99;1,21;1,12;3,4;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KINV-A.ST;11;998;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=998&marketid=11
PIEZO.ST;PIEZOMOTOR UPPSALA;42.5;76.9;328;74.2;480;66.0;653;72.4;487;23;72,7;9,83;2,85;14,69;8,76;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PIEZO.ST;11;123299;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123299&marketid=11
IBT-B.ST;INFANT BACTERIAL THERAPEUTICS;116.5;57.1;191;55.6;455;65.2;1273;59.3;639;23;72,7;10,87;4,67;18,11;9,14;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IBT-B.ST;11;120381;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=120381&marketid=11
STE-A.ST;STORA ENSO A;155.5;65.2;124;61.2;135;61.8;190;62.7;149;44;72,7;1,98;1,69;0;2,27;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=STE-A.ST;11;2169;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=2169&marketid=11
MYFC.ST;MYFC HOLDING;6.915;91.7;135;73.1;293;71.7;1660;78.8;696;30;72,4;10,41;3,06;105,36;11,37;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MYFC.ST;11;101187;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101187&marketid=11
BULTEN.ST;BULTEN;110.0;50.0;101;69.4;151;59.5;192;59.6;148;37;72,2;2,04;1,74;17,95;2,78;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BULTEN.ST;11;82239;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=82239&marketid=11
CEVI.ST;CELLAVISION;145.0;65.4;126;68.2;253;67.0;780;66.9;386;44;72,1;4,71;1,69;20,86;4,88;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CEVI.ST;11;40679;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=40679&marketid=11
LUG.ST;LUNDIN GOLD;34.05;57.1;113;58.3;134;65.2;217;60.2;154;33;71,9;2,61;1,95;20,23;3,73;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LUG.ST;11;105183;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=105183&marketid=11
ALIG.ST;ALIMAK GROUP;129.8;68.4;110;66.7;128;64.6;223;66.6;153;32;71,9;2,96;2,14;16,78;3,56;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIG.ST;11;110204;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110204&marketid=11
XACT-OMXSB-UTD.ST;XACT OMXSB Utd ETF;432.3;61.5;102;51.7;106;64.6;147;59.3;118;32;71,9;1,5;1,21;7,81;1,69;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACT-OMXSB-UTD.ST;N/A;N/A;N/A
CTT.ST;CTT SYSTEMS;154.2;62.5;133;63.9;158;63.6;569;63.3;286;33;71,9;5,79;3,31;10,78;4,66;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CTT.ST;11;3081;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3081&marketid=11
SVOL-B.ST;SVOLDER B;93.2;70.0;102;66.7;131;63.6;227;66.8;153;33;71,9;2,77;1,86;24,09;3,26;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SVOL-B.ST;11;937;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=937&marketid=11
LIFCO-B.ST;LIFCO B;338.0;76.2;145;75.7;188;70.9;289;74.3;207;39;71,8;3,03;2,21;0,29;3,02;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LIFCO-B.ST;11;103930;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=103930&marketid=11
AVEG-B.ST;AVEGA GROUP ser. B;;;;;;;;;;;;;;;;;N/A;N/A;N/A
TREL-B.ST;TRELLEBORG B;210.4;57.1;115;55.6;124;63.9;175;58.9;138;36;71,4;1,72;1,17;0,05;2,26;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TREL-B.ST;11;364;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=364&marketid=11
ORES.ST;INVESTMENT OERESUND;137.0;70.0;112;63.9;120;62.5;195;65.5;142;36;71,4;2,25;0,68;16,91;2,6;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORES.ST;11;863;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=863&marketid=11
DEDI.ST;DEDICARE AB;75.8;66.7;159;65.8;193;60.3;664;64.3;338;39;71,1;5,12;1,31;88,82;5,47;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DEDI.ST;11;81878;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=81878&marketid=11
ATCO-B.ST;ATLAS COPCO B;322.9;64.7;104;61.5;124;55.8;158;60.7;128;38;71,1;1,76;1,28;9,72;2,09;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATCO-B.ST;11;46;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=46&marketid=11
COMH.ST;COM HEM HOLDING;137.2;66.7;114;58.1;125;55.6;166;60.1;135;31;71;2,15;0,56;1,78;2,01;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COMH.ST;11;101281;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101281&marketid=11
MIC-SDB.ST;MILLICOM INTERNATIONAL CELLULAR SDR;570.0;38.1;94;53.7;115;60.2;207;50.7;138;41;70,7;2,1;0,66;9,77;2,71;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MIC-SDB.ST;11;24507;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=24507&marketid=11
SEB-C.ST;SE BANKEN C;98.5;77.8;110;63.9;103;64.3;146;68.7;119;35;70,6;1,36;0,89;6,22;1,82;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SEB-C.ST;N/A;N/A;N/A
DIVI-B.NGM;DIVIDEND SWEDEN;0.325;64.7;169;63.0;292;70.9;1727;66.2;729;27;70,4;9,82;2,05;324,79;10,85;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIVI-B.NGM;N/A;N/A;N/A
STIL.ST;STILLE;70.0;41.2;119;58.1;168;60.0;400;53.1;229;27;70,4;5,76;2,37;14,83;5,43;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=STIL.ST;11;32001;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=32001&marketid=11
RENT.NGM;RENTUNDER HOLDING;3.81;75.0;136;77.3;157;77.3;157;76.5;150;11;70;2,73;1,34;41,88;5,62;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RENT.NGM;N/A;N/A;N/A
BALD-PREF.ST;FASTIGHETS AB BALDER PRF;;;;;;;;;;;;;;;;;N/A;N/A;N/A
WIHL.ST;WIHLBORGS FASTIGHETER;190.4;78.6;104;76.7;134;72.6;179;76.0;139;31;70;1,95;0,91;6,77;2,27;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=WIHL.ST;11;29759;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=29759&marketid=11
NDA-SEK.ST;NORDEA BANK;89.06;71.4;106;64.7;113;67.7;191;67.9;136;31;70;2;0,8;24,59;2,9;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NDA-SEK.ST;11;220;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=220&marketid=11
ACAN-B.ST;ACANDO;29.85;64.7;104;69.2;139;63.5;248;65.8;163;31;70;3,29;1,89;11,15;3,46;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACAN-B.ST;11;981;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=981&marketid=11
SPOR.ST;SPORTAMORE;114.2;77.8;146;76.5;235;70.6;536;75.0;305;34;69,7;5,73;3,41;30,22;5,4;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SPOR.ST;11;90180;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=90180&marketid=11
JM.ST;JM;186.85;63.2;106;70.6;131;70.6;207;68.1;148;34;69,7;2,28;0,78;75,42;3,11;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=JM.ST;11;13217;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=13217&marketid=11
