NAMESHORT_SB;NAME_SB;PRICE;MONTH_6_PERCENT_CORRECT;MONTH_6_VALUE;MONTH_12_PERCENT_CORRECT;MONTH_12_VALUE;MONTH_24_PERCENT_CORRECT;MONTH_24_VALUE;AVERAGE_PERCENT_CORRECT;AVERAGE_VALUE;BUYS_TOTAL;BUYS_24_PERCENT_CORRECT;BUY_AVERAGE_PERCENT_CHANGE;BUY_MEDIAN_PERCENT_CHANGE;PER_CHANGE_HIGHEST_THROUGH_CURRENT;PRICE_CHANGE_PERCENT_AVERAGE;URL_SB;MARKET_ID;IDENTIFIER_ID;URL_NN
CRAD-B.ST;C-RAD B;31.2;68.8;143;73.3;353;64.1;523;68.7;339;32;64,5;6,83;1,63;2,92;6,17;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CRAD-B.ST;11;74313;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=74313&marketid=11
BONAV-B.ST;BONAVA B;122.0;61.9;100;53.7;110;57.1;140;57.6;116;31;64,5;1,25;0,72;34,42;2,45;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BONAV-B.ST;11;122975;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=122975&marketid=11
BACTI-B.ST;BACTIGUARD HOLD;21.5;50.0;109;50.0;148;56.2;256;52.1;171;32;64,5;3,26;1,82;2,45;4,05;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BACTI-B.ST;11;101601;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101601&marketid=11
HEMF.ST;HEMFOSA FASTIGHETER AB;99.1;69.2;103;66.7;128;55.6;133;63.8;121;31;64,5;1,32;0,65;15,43;2,36;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEMF.ST;11;100152;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=100152&marketid=11
XMWO.ST;DBX MSCI WORLD ETF;486.6;70.0;106;46.9;106;53.1;120;56.7;110;32;64,5;0,94;0,51;0;1,25;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XMWO.ST;N/A;N/A;N/A
43825.ST;I.A.R SYSTEMS GROUP;224.0;66.7;123;65.2;132;64.9;199;65.6;151;28;64,3;2,4;1,04;0;2,92;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43825.ST;N/A;N/A;N/A
PRCO-B.ST;PRECIO FISHBONE B;19.65;57.1;106;56.7;102;58.6;115;57.5;107;29;64,3;0,79;1,17;2,51;2,67;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PRCO-B.ST;11;62455;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=62455&marketid=11
SOLT.ST;SOLTECH ENERGY;8.85;68.8;173;69.2;300;72.5;439;70.2;304;25;64;5,39;2,26;117,15;8,04;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SOLT.ST;11;110738;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110738&marketid=11
BERG-B.ST;BERGMAN & BEVING;88.0;76.5;134;63.9;180;65.8;274;68.7;196;36;63,9;2,22;1,63;86,38;3,44;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BERG-B.ST;11;793;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=793&marketid=11
ERIC-B.ST;ERICSSON B;55.78;81.2;130;81.2;182;63.5;213;75.3;175;37;63,9;1,46;1,57;43,15;3,44;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ERIC-B.ST;11;101;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101&marketid=11
NVP.ST;NEUROVIVE PHARMACEUTICAL;2.845;73.7;147;72.4;159;66.2;835;70.8;380;33;63,6;4,73;2,38;161,59;8,06;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NVP.ST;11;58531;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=58531&marketid=11
TOBII.ST;TOBII;37.24;68.4;163;66.7;241;65.2;383;66.8;262;32;63,6;3,78;1,76;118,29;5,62;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TOBII.ST;11;108332;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=108332&marketid=11
CINN.ST;CINNO FIN TECH;57.8;68.8;115;63.9;133;64.7;279;65.8;175;34;63,6;3,42;0,65;52,06;4,47;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CINN.ST;11;102935;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=102935&marketid=11
PRIME.ST;PRIME LIVING;74.4;88.9;114;66.7;140;64.4;286;73.3;180;22;63,6;5,14;1,96;98,75;6,09;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PRIME.ST;11;110385;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110385&marketid=11
PCELL.ST;POWERCELL SWEDEN;26.0;69.2;135;73.3;388;63.6;743;68.7;422;32;63,6;4,72;2,12;82,76;7,08;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PCELL.ST;11;105121;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=105121&marketid=11
XACT.ST;XACT OMX30 ETF;184.36;54.5;100;48.5;97;59.7;126;54.2;107;33;63,6;1,08;0,34;6,21;1,44;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACT.ST;N/A;N/A;N/A
VNV-SDB.ST;VOSTOK NEW VENTURES SDR;71.8;55.0;103;52.6;105;58.8;182;55.5;130;34;63,6;2,2;0,97;6,09;3,22;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VNV-SDB.ST;11;41044;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=41044&marketid=11
BALD-B.ST;FASTIGHETS BALDER B;210.0;73.7;115;60.0;123;56.2;153;63.3;130;44;63,6;1,11;0,59;22,11;2,17;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BALD-B.ST;11;4212;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=4212&marketid=11
SAND.ST;SANDVIK;152.5;64.3;121;50.0;111;52.2;171;55.5;134;45;63,6;1,67;0,88;5,92;2,14;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAND.ST;11;4928;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=4928&marketid=11
FMM-B.ST;FM MATTSSON MORA GROUP;83.0;62.5;113;50.0;107;50.0;107;54.2;109;12;63,6;1,19;0,69;8,8;2,05;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FMM-B.ST;11;136221;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=136221&marketid=11
CLAV.ST;CLAVISTER HOLDING;19.1;75.0;157;68.8;383;71.0;735;71.6;425;31;63,3;4,25;1,77;192,05;7,15;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLAV.ST;11;100970;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=100970&marketid=11
43720.ST;MYCRONIC;108.8;61.5;124;57.6;137;63.9;275;61.0;178;30;63,3;4,79;1,29;2,98;5,48;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43720.ST;N/A;N/A;N/A
TALK.ST;TALKPOOL;39.1;56.5;185;59.5;195;62.3;258;59.4;212;30;63,3;3,59;1,8;66,67;5,24;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TALK.ST;11;122573;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=122573&marketid=11
WTX.ST;WILSON THERAPEUTICS SHS;143.2;62.5;184;61.1;236;61.3;577;61.6;332;31;63,3;6,46;1,74;0;5,97;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=WTX.ST;11;121819;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=121819&marketid=11
PROF-B.ST;PROFILGRUPPEN B;117.0;57.9;121;56.1;124;55.7;276;56.6;173;29;63,3;4,24;1,03;19,12;4,95;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PROF-B.ST;11;929;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=929&marketid=11
ENERS.ST;ENERSIZE;4.94;73.3;125;70.6;135;70.6;135;71.5;131;8;50;1,52;0;83,19;5,26;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENERS.ST;11;139583;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=139583&marketid=11
ENQ.ST;ENQUEST;3.525;77.8;192;65.0;189;66.7;972;69.8;451;39;63,2;6,57;1,81;63,67;7,7;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENQ.ST;11;75073;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=75073&marketid=11
IMMNOV.ST;IMMUNOVIA;103.8;50.0;115;57.6;129;66.2;522;57.9;255;38;63,2;5,18;1,95;31,93;5,25;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IMMNOV.ST;11;115966;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=115966&marketid=11
FAG.ST;FAGERHULT;100.2;77.8;130;64.3;163;65.4;372;69.2;221;39;63,2;3,93;1,79;23,59;4,32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FAG.ST;11;903;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=903&marketid=11
SOBI.ST;SWEDISH ORPHAN BIOVITRUM;141.95;86.7;119;68.6;120;59.7;130;71.7;123;38;63,2;1,22;1,22;2,33;2,62;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SOBI.ST;11;36316;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=36316&marketid=11
EWRK.ST;EWORK GROUP;98.4;61.9;106;57.8;119;57.1;187;58.9;137;38;63,2;2;0,97;18,55;2,91;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EWRK.ST;11;72798;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=72798&marketid=11
NIL-B.ST;NILORNGRUPPEN;83.5;57.1;93;54.8;90;55.8;159;55.9;114;38;63,2;1,76;0,27;40,95;3,29;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NIL-B.ST;11;110376;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110376&marketid=11
CAPAC.ST;CAPACENT HOLDING;39.4;52.9;138;54.8;147;61.8;228;56.5;171;27;63;2,34;1,16;65,19;4,87;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAPAC.ST;11;113748;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=113748&marketid=11
XACT-BULL-2.ST;XACT BULL2 ETF;649.0;60.0;102;64.5;119;62.0;170;62.2;130;35;62,9;2,19;1,36;11,09;3,08;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACT-BULL-2.ST;N/A;N/A;N/A
PRIC-B.ST;PRICER B;8.73;64.7;107;60.6;106;60.6;170;62.0;127;35;62,9;1,95;0,82;45,12;2,97;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PRIC-B.ST;11;1040;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1040&marketid=11
INVE-A.ST;INVESTOR A;376.4;46.7;102;54.3;123;57.7;176;52.9;133;35;62,9;1,92;0,33;12,41;2,14;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INVE-A.ST;11;160;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=160&marketid=11
LATO-B.ST;LATOUR INVESTMENT B;96.55;61.9;107;53.8;126;56.3;153;57.3;128;35;62,9;1,53;0,58;21,25;2,37;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LATO-B.ST;11;914;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=914&marketid=11
FRISQ.ST;FRISQ HOLDING;23.1;75.0;248;64.3;213;64.0;210;67.8;223;25;62,5;3,8;0,87;69,05;6,02;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FRISQ.ST;11;127937;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=127937&marketid=11
ESSITY-B.ST;ESSITY;225.3;72.2;116;75.0;116;75.0;116;74.1;116;10;88,9;1,88;1,35;7,37;2,07;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ESSITY-B.ST;11;139301;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=139301&marketid=11
ACAD.ST;ACADEMEDIA;56.5;44.4;102;60.0;143;64.0;190;56.1;145;25;62,5;2,4;0,46;13,51;3,61;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACAD.ST;11;123363;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123363&marketid=11
CANTA.ST;CANTARGIA;8.04;66.7;158;71.4;239;63.1;275;67.1;224;32;62,5;3,14;2,01;29,42;5,81;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CANTA.ST;11;107644;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=107644&marketid=11
GAPW-B.ST;GAPWAVES;19.8;76.9;160;58.1;781;57.6;854;64.2;598;16;62,5;18,89;3,62;160,78;15,69;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GAPW-B.ST;11;128818;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=128818&marketid=11
LUMI.ST;LUNDIN MINING;55.55;52.2;163;54.5;187;54.5;187;53.7;179;16;62,5;3,59;0,55;23,21;4,69;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LUMI.ST;11;27709;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=27709&marketid=11
CLX.ST;CLX COMMUNICATIONS;60.9;50.0;130;50.0;152;48.5;244;49.5;175;33;62,5;2,42;0,66;122,27;4,77;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLX.ST;11;113927;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=113927&marketid=11
ORIF.ST;ORIFLAME HOLDING;405.0;50.0;135;54.8;161;56.6;484;53.8;260;38;62,2;4,5;1,38;0;4,54;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORIF.ST;N/A;N/A;N/A
EPIS-B.ST;EPISURF MEDICALORD;6.36;58.8;130;65.6;194;67.2;485;63.9;269;30;62,1;4,63;0,76;123,02;6,62;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EPIS-B.ST;11;78419;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=78419&marketid=11
SRNKE-B.ST;SERNEKE GROUP;96.2;65.0;118;59.5;142;61.4;149;62.0;136;22;61,9;1,77;0,66;33,16;2,69;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SRNKE-B.ST;11;129023;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=129023&marketid=11
DORO.ST;DORO;43.35;76.9;120;66.7;148;71.0;262;71.5;176;34;61,8;1,93;0,48;87,58;4,16;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DORO.ST;11;896;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=896&marketid=11
FPAR.ST;FAST PARTNER;143.0;57.9;107;57.9;126;63.8;263;59.9;165;34;61,8;2,74;1,5;17,49;3,27;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FPAR.ST;11;980;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=980&marketid=11
ELTEL.ST;ELTEL;26.1;66.7;113;71.1;198;62.9;204;66.9;171;35;61,8;2,73;1,31;123,26;5,27;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELTEL.ST;11;106028;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=106028&marketid=11
SMF.ST;SEMAFO;21.6;75.0;128;58.3;118;61.4;307;64.9;184;35;61,8;3,21;2,45;114,04;6,18;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SMF.ST;11;84981;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=84981&marketid=11
GARO.ST;GARO;177.8;68.4;128;65.7;139;60.9;294;65.0;187;34;61,8;3,05;1,34;51,39;4,67;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GARO.ST;11;119990;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=119990&marketid=11
ABB.ST;ABB LTD N;198.7;62.5;111;62.5;137;58.6;186;61.2;144;35;61,8;1,85;0,68;11,67;2,04;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ABB.ST;11;3966;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3966&marketid=11
AAC-TO1.ST;AAC MICROTEC SUBSCR OPT;0.38;75.0;343;65.4;1028;67.9;1044;69.4;805;14;61,5;23,58;4;215,47;24,38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAC-TO1.ST;N/A;N/A;N/A
RATO-B.ST;RATOS B;33.66;70.0;112;64.7;118;60.0;151;64.9;127;40;61,5;1,29;0,61;53,91;2,63;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RATO-B.ST;11;1045;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1045&marketid=11
XSPX.ST;DB X-TRACKERS S&P 500 ETF;402.0;70.0;109;60.0;107;59.3;130;63.1;115;26;61,5;1,36;0,77;1,19;1,92;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XSPX.ST;N/A;N/A;N/A
FRIM.ST;ROBERT FRIMAN INTERNATIONAL;;;;;;;;;;;;;;;;;N/A;N/A;N/A
CE.ST;CORTUS ENERGY;0.75;58.3;153;65.6;540;67.2;5463;63.7;2052;32;61,3;12,5;3,98;138,29;12,22;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CE.ST;N/A;N/A;N/A
CBA.ST;CYBAERO;1.46;62.5;118;68.8;517;65.6;935;65.6;523;32;61,3;4,45;2,94;2401,37;11,05;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CBA.ST;11;40870;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=40870&marketid=11
47307.ST;NORDIC LEISURE;30.6;73.3;183;54.8;430;54.0;757;60.7;456;31;61,3;7,93;1,5;7,61;7,15;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=47307.ST;N/A;N/A;N/A
ALIF-B.ST;ADDLIFE;171.0;40.0;86;55.0;87;56.8;148;50.6;107;37;61,1;2,11;0,59;9,44;3,1;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIF-B.ST;11;120190;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=120190&marketid=11
GAPW-TO-1B.ST;GAPWAVES SUBSCR OPT;;;;;;;;;;;;;;;;;N/A;N/A;N/A
ALON-B.NGM;ARCHELON;0.153;75.0;117;71.4;128;63.2;181;69.9;142;28;60,7;2,35;1,72;62,84;6,13;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALON-B.NGM;N/A;N/A;N/A
VICP-B.ST;VICTORIA PARK B;32.9;61.5;106;62.1;133;61.4;294;61.7;177;28;60,7;4,16;1,38;0;4,03;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VICP-B.ST;11;100963;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=100963&marketid=11
MCAP.ST;MEDCAP;64.6;69.2;163;67.9;215;57.9;271;65.0;216;28;60,7;4,07;1,55;3,11;4,37;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MCAP.ST;11;35364;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=35364&marketid=11
ANOT.ST;ANOTO GROUP;4.742;60.0;298;67.7;1089;69.7;4314;65.8;1900;32;60,6;8,16;1,27;132,2;10,19;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ANOT.ST;11;5110;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5110&marketid=11
HMED.ST;HANSA MEDICAL;230.0;64.3;131;66.7;314;61.8;1260;64.3;568;34;60,6;8,88;3,6;17,95;7,48;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HMED.ST;11;43288;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=43288&marketid=11
VBG-B.ST;VBG B;135.6;76.9;129;59.4;153;58.2;226;64.8;169;33;60,6;3,02;1,15;11,68;3,07;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VBG-B.ST;11;942;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=942&marketid=11
HOFI.ST;HOIST FINANCE;78.8;87.5;146;60.0;150;54.4;164;67.3;153;34;60,6;1,61;1,11;18,69;2,7;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HOFI.ST;11;107904;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=107904&marketid=11
CTM.ST;CATENA MEDIA;127.7;38.9;144;42.1;169;48.5;269;43.2;194;34;60,6;3,15;1,81;1,62;3,92;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CTM.ST;11;119018;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=119018&marketid=11
ALIV-SDB.ST;AUTOLIV SDR;1221.5;68.2;125;69.4;163;64.1;230;67.2;172;39;60,5;2,23;0,99;0;2,7;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIV-SDB.ST;11;47;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=47&marketid=11
AQ.ST;AROS QUALITY;170.4;55.0;103;63.0;113;60.3;168;59.4;128;39;60,5;1,4;0,62;42,03;2,74;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AQ.ST;11;13236;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=13236&marketid=11
XACT-BULL.ST;XACT BULL ETF;349.5;53.3;104;51.5;115;55.8;155;53.5;124;38;60,5;1,51;0,7;7,93;2,17;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACT-BULL.ST;N/A;N/A;N/A
GETI-B.ST;GETINGE B;107.15;84.6;121;60.6;137;55.8;149;67.0;135;38;60,5;0,76;0,68;54,13;2,57;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GETI-B.ST;11;812;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=812&marketid=11
DIOS.ST;DIOS FASTIGHETER;55.65;39.1;99;48.8;126;51.9;137;46.6;120;38;60,5;1,34;0,21;5,67;1,97;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIOS.ST;11;34271;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=34271&marketid=11
KNOW.ST;KNOW IT;164.0;70.0;126;61.4;140;51.3;240;60.9;168;39;60,5;2,78;1,23;0;2,87;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KNOW.ST;11;3219;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3219&marketid=11
ORX.ST;OREXO;39.05;87.5;202;67.6;251;66.7;453;73.9;302;36;60;4,16;1,68;46,45;6,3;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORX.ST;11;31885;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=31885&marketid=11
SAVOS.ST;SAVO SOLAR;0.61;60.0;156;64.5;1718;63.9;4909;62.8;2261;30;60;10,15;0,51;562,17;12,86;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAVOS.ST;11;108026;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=108026&marketid=11
IMMU.ST;IMMUNICUM;6.52;83.3;164;66.7;229;62.9;465;71.0;286;31;60;3,43;1,43;333,25;6,93;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IMMU.ST;11;93632;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=93632&marketid=11
MAG.ST;MAGNOLIA BOSTAD;52.4;77.8;182;69.4;249;62.5;480;69.9;303;36;60;3,34;0,76;132,54;4,85;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MAG.ST;11;110088;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110088&marketid=11
CONS-B.ST;CONSILIUM B;58.0;75.0;129;58.1;131;62.3;224;65.1;161;30;60;1,95;0,72;104,42;4;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CONS-B.ST;11;803;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=803&marketid=11
LIAB.ST;LINDAB INTERNATIONAL;65.5;77.8;118;61.0;140;61.1;187;66.6;148;36;60;1,82;0,91;41,41;2,85;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LIAB.ST;11;37400;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=37400&marketid=11
SKIS-B.ST;SKISTAR B;165.8;87.5;130;76.5;205;58.3;264;74.1;199;36;60;2,97;1,47;27,38;3,33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SKIS-B.ST;11;939;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=939&marketid=11
AHSL.ST;AHLSELL;51.85;50.0;92;55.6;96;57.7;101;54.4;96;26;60;0,52;0,5;17,48;1,5;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AHSL.ST;11;128388;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=128388&marketid=11
TROAX.ST;TROAX GROUP;238.5;65.0;110;70.6;178;56.9;290;64.2;192;36;60;3,67;1,55;24,69;3,84;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TROAX.ST;11;107899;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=107899&marketid=11
HEMC-TO1.ST;HEMCHECK SWEDEN SUBSCR OPT;;;;;;;;;;;;;;;;;N/A;N/A;N/A
SJR-B.ST;SJR B;47.2;66.7;116;58.3;135;56.9;144;60.6;131;36;60;1,62;1,1;1,56;2,26;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SJR-B.ST;11;39303;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=39303&marketid=11
PACT.ST;PROACT IT GROUP;150.2;62.5;148;54.8;168;56.9;256;58.1;190;36;60;2,43;1,05;35,88;3,13;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PACT.ST;11;4003;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=4003&marketid=11
ANOD-B.ST;ADDNODE GROUP;80.8;50.0;112;52.9;138;56.5;202;53.1;150;31;60;2,85;0,82;0;3,21;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ANOD-B.ST;11;3887;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3887&marketid=11
