NAMESHORT_SB;NAME_SB;PRICE;MONTH_6_PERCENT_CORRECT;MONTH_6_VALUE;MONTH_12_PERCENT_CORRECT;MONTH_12_VALUE;MONTH_24_PERCENT_CORRECT;MONTH_24_VALUE;AVERAGE_PERCENT_CORRECT;AVERAGE_VALUE;BUYS_TOTAL;BUYS_24_PERCENT_CORRECT;PRICE_CHANGE_PERCENT_AVERAGE;PRICE_CHANGE_PERCENT_MEDIAN;BUY_AVERAGE_FAILED_PER_CHANGE;BUY_MEDIAN_FAILED_PER_CHANGE;BUY_AVERAGE_SUCCESS_PER_CHANGE;BUY_MEDIAN_SUCCESS_PER_CHANGE;BUYANDFAIL_MEDIAN_KEYVALUE;BUYANDFAIL_AVERAGE_KEYVALUE;PER_CHANGE_HIGHEST_THROUGH_CURRENT;URL_SB;MARKET_ID;IDENTIFIER_ID;URL_NN
AAP-B.ST;ARC AROMA;40.7;61.1;142;60.0;275;57.6;1091;59.6;502;33;50.0;6.65;3.27;-2.16;-2.12;14.03;10.18;3.23;5.13;1.71;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAP-B.ST;11;93180;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=93180&marketid=11
ABB.ST;ABB LTD N;192.6;62.5;111;62.5;137;58.8;186;61.3;144;34;63.6;2.09;1.07;-0.59;-0.43;3.43;1.75;0.16;1.17;1.12;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ABB.ST;11;3966;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3966&marketid=11
ABIGR.NGM;ABELCO INVESTMENT GROUP;0.129;75.0;164;75.0;264;75.0;264;75.0;230;8;71.4;13.63;5.84;-2.27;-2.2;16.02;5.84;2.74;9.99;2.93;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ABIGR.NGM;13;3SJQ;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3SJQ&marketid=13
ACAD.ST;ACADEMEDIA;55.0;44.4;102;58.8;136;64.0;190;55.7;142;25;62.5;3.61;1.82;-1.78;-1.2;5.19;5.24;2.03;1.78;1.14;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACAD.ST;11;123363;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123363&marketid=11
ACAN-B.ST;ACANDO;28.55;61.1;103;67.5;137;62.5;245;63.7;161;32;67.7;3.42;2.25;-1.44;-1.01;5.57;4.27;1.76;2.51;1.12;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACAN-B.ST;11;981;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=981&marketid=11
ACARIX.ST;ACARIX;9.2;53.3;96;54.5;82;51.4;77;53.1;85;17;35.3;5.62;3.04;-4.03;-3.18;7.96;4.83;-1.15;-0.6;2.38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACARIX.ST;11;130710;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=130710&marketid=11
ACM.ST;A CITY MEDIA;126.0;71.4;144;52.9;155;50.0;350;58.1;216;32;51.6;5.59;3.04;-2.19;-1.28;10.39;6.95;2.17;3.5;1.22;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACM.ST;11;116111;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=116111&marketid=11
ACTI.ST;ACTIVE BIOTECH;3.965;66.7;250;79.3;427;71.4;1422;72.5;699;31;73.3;11.54;4.72;-8.84;-3.57;16.7;10.72;6.1;9.08;4.95;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACTI.ST;11;877;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=877&marketid=11
ADDERA.ST;ADDERACARE;10.35;73.7;124;72.7;154;71.4;157;72.6;145;17;68.8;4.85;3.93;-3.23;-2.86;4.96;4.07;1.11;1.6;1.52;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADDERA.ST;11;129533;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=129533&marketid=11
ADDT-B.ST;ADDTECH B;169.2;70.0;119;65.8;143;64.8;248;66.9;170;35;68.6;3.03;1.75;-1.58;-1.55;4.54;4.54;1.83;1.82;1.13;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADDT-B.ST;11;14336;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=14336&marketid=11
ADDV-B.ST;ADDVISE GROUP;1.45;42.1;83;37.9;84;50.0;89;43.3;85;21;40.9;4.79;3.05;-2.38;-2.31;6.17;5.04;-0.1;0.32;1.54;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADDV-B.ST;11;113184;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=113184&marketid=11
ADVE.ST;ADVENICA;13.25;50.0;112;55.6;135;57.4;237;54.3;161;34;54.5;5.3;3.45;-2.47;-2.85;7.63;6.78;1.6;2.23;1.64;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADVE.ST;11;102777;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=102777&marketid=11
AERO.ST;SVENSKA AEROGEL HOLDING;5.32;57.7;161;52.2;124;54.2;138;54.7;141;24;43.5;6.75;3.18;-2.52;-2.18;9.21;3.74;-0.4;1.78;1.67;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AERO.ST;11;130818;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=130818&marketid=11
AF-B.ST;AF B;178.5;75.0;111;61.9;110;59.0;151;65.3;124;39;57.9;2.19;1.42;-0.99;-0.98;3.64;3.37;0.74;0.89;1.02;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AF-B.ST;11;862;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=862&marketid=11
AGES-B.ST;AGES INDUSTRI;87.0;33.3;99;73.7;121;62.8;154;56.6;124;19;66.7;4.01;2.0;-1.2;-1.04;4.19;2.75;0.69;1.6;1.57;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AGES-B.ST;11;100816;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=100816&marketid=11
AGORA-PREF.ST;AGORA PREF PRF;;;;;;;;;;;;;;;;;;;;;;;;
AGRO.ST;AGROMINO;19.0;46.7;97;48.4;121;52.1;233;49.1;150;35;51.4;4.59;2.32;-2.12;-1.81;6.16;2.85;-0.21;1.34;1.79;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AGRO.ST;11;40543;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=40543&marketid=11
AHSL.ST;AHLSELL;51.85;41.7;91;51.1;95;54.7;100;49.2;95;26;57.7;1.48;1.07;-1.2;-1.15;1.59;1.24;-0.57;-0.39;1.17;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AHSL.ST;11;128388;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=128388&marketid=11
