NAMESHORT_SB;NAME_SB;URL_SB;NAME_NORDNET;NAMESHORT_NORDNET;URL_NN;MARKET_ID;IDENTIFIER_ID;GROUP_BUY;PRICE;ACTIVE;ACTIVE_TEMP;VOLUME_HELD;BUYS_TOTAL;BUYS_24_PERCENT_CORRECT;PRICE_CHANGE_PERCENT_AVERAGE;PRICE_CHANGE_PERCENT_MEDIAN;BUY_AVERAGE_FAILED_PERCENT_CHANGE;BUY_AVERAGE_SUCCESS_PERCENT_CHANGE;BUY_MEDIAN_FAILED_PERCENT_CHANGE;BUY_MEDIAN_SUCCESS_PERCENT_CHANGE;BUYANDFAIL_MEDIAN_KEYVALUE;BUYANDFAIL_AVERAGE_KEYVALUE;MEDIAN_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;AVERAGE_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;MEDIAN_BUY_INTRADAY-CLOSING_PERCENT_CHANGE;AVERAGE_BUY_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_MEDIAN_KEYVALUE_AND_MEDIAN_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_AVERAGE_KEYVALUE_AND_AVERAGE_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_MEDIAN_KEYVALUE_AND_MEDIAN_BUY_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_AVERAGE_KEYVALUE_AND_AVERAGE_BUY_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;HIGHEST_THROUGH_CURRENT_PERCENT_CHANGE
SOF-B.ST;SOFTRONIC B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SOF-B.ST;Softronic AB ser. B;SOF B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1546&marketid=11;11;1546;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;21.1;;;;32.0;54.8;3.21;1.71;-1.39;7.24;-1.32;6.1;2.72;3.32;-0.48;-0.68;0.64;0.88;2.24;2.64;1.6;1.76;1.0
HTRO.ST;HEXATRONIC GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HTRO.ST;Hexatronic Group AB;HTRO;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=82816&marketid=11;11;82816;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;64.5;;;;35.0;74.3;5.28;2.62;-1.88;9.19;-1.82;7.04;4.64;6.22;-1.22;-1.27;1.87;2.22;3.42;4.95;1.55;2.73;1.3
43825.ST;I.A.R SYSTEMS GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43825.ST;I.A.R Systems Group AB ser. B;IAR B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=2346&marketid=11;11;2346;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;280.0;;;;30.0;62.1;2.81;1.81;-1.36;4.9;-0.57;4.6;2.58;2.47;-0.53;-0.89;0.51;1.0;2.05;1.58;1.54;0.58;1.0
G5EN.ST;G5 ENTERTAINMENT;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=G5EN.ST;G5 Entertainment AB;G5EN;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=60158&marketid=11;11;60158;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;570.0;;;;36.0;86.1;8.4;5.39;-3.54;12.86;-3.32;7.12;5.49;10.4;-1.61;-1.8;2.4;2.93;3.88;8.6;1.48;5.67;1.01
CTM.ST;CATENA MEDIA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CTM.ST;Catena Media P.L.C;CTM;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=119018&marketid=11;11;119018;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;138.8;;;;35.0;62.9;4.25;2.52;-2.31;7.7;-1.96;5.99;2.98;3.92;-0.68;-1.2;0.86;1.42;2.3;2.72;1.44;1.3;1.0
TETY.ST;TETHYS OIL;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TETY.ST;Tethys Oil AB;TETY;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=24588&marketid=11;11;24588;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;95.6;;;;34.0;70.6;5.55;2.09;-6.03;6.01;-1.4;4.07;2.36;2.37;-53.56;-54.79;-52.58;-53.5;-51.2;-52.42;1.38;1.08;3.05
FPIP.ST;FORMPIPE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FPIP.ST;FormPipe Software AB;FPIP;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=72565&marketid=11;11;72565;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;19.0;;;;30.0;46.7;2.77;1.57;-1.01;6.12;-0.85;5.32;2.05;2.34;-0.18;-0.96;0.53;0.91;1.87;1.38;1.34;0.47;1.0
BRIG.ST;BRIGHTER AB;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIG.ST;Brighter AB;BRIG;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=86375&marketid=11;11;86375;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;7.7;;;;34.0;51.5;8.83;4.97;-4.2;19.84;-3.47;12.99;5.0;8.17;0.18;0.13;3.85;5.59;5.18;8.3;1.33;2.71;1.45
XANO-B.ST;XANO INDUSTRI B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XANO-B.ST;XANO Industri AB ser. B;XANO B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1074&marketid=11;11;1074;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;275.0;;;;35.0;70.6;5.15;2.45;-1.5;9.13;-1.2;6.07;3.83;5.9;-1.0;-1.72;1.51;1.64;2.83;4.18;1.32;2.54;1.0
MSON-B.ST;MIDSONA B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MSON-B.ST;Midsona AB ser. B;MSON B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3922&marketid=11;11;3922;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;69.0;;;;34.0;61.8;3.55;1.65;-1.41;7.19;-1.22;5.38;2.8;3.85;-0.81;-1.02;0.68;1.07;1.99;2.83;1.31;1.76;1.0
GHP.ST;GHP SPECIALTY CARE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GHP.ST;GHP Specialty Care AB;GHP;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=59064&marketid=11;11;59064;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;10.02;;;;31.0;48.4;3.88;2.25;-1.5;6.75;-1.37;7.35;2.86;2.5;-0.52;-0.91;1.1;1.27;2.34;1.59;1.24;0.32;1.37
AAP-B.ST;ARC AROMA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAP-B.ST;Arc Aroma Pure AB;AAP B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=93180&marketid=11;11;93180;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;38.1;;;;30.0;50.0;7.07;3.69;-2.09;15.28;-2.01;10.18;4.08;6.59;-1.1;-1.93;1.78;2.5;2.98;4.66;1.2;2.16;2.17
TRANS.ST;TRANSTEMA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TRANS.ST;Transtema Group AB;TRANS;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=109528&marketid=11;11;109528;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;24.5;;;;33.0;63.6;8.11;4.68;-3.45;11.57;-2.84;8.97;4.6;6.03;-1.61;-2.12;1.83;2.91;2.99;3.91;1.16;1.0;2.8
QLRO.ST;QLIRO GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=QLRO.ST;Qliro Group AB;QLRO;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=79303&marketid=11;11;79303;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;10.36;;;;37.0;55.6;4.47;2.69;-2.02;5.96;-1.2;5.77;2.65;2.39;-0.52;-1.14;0.99;1.6;2.13;1.25;1.14;-0.35;1.85
PACT.ST;PROACT IT GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PACT.ST;Proact IT Group AB;PACT;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=4003&marketid=11;11;4003;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;183.8;;;;36.0;63.9;3.54;2.16;-1.31;6.18;-0.9;5.09;2.86;3.41;-1.06;-1.38;0.73;1.21;1.8;2.03;1.07;0.82;1.25
NOLA-B.ST;NOLATO B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NOLA-B.ST;Nolato AB ser. B;NOLA B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=923&marketid=11;11;923;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;777.0;;;;35.0;74.3;3.54;1.92;-1.23;6.26;-1.01;3.67;2.35;4.21;-0.7;-0.76;0.59;1.01;1.65;3.45;1.06;2.44;1.01
PROF-B.ST;PROFILGRUPPEN B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PROF-B.ST;ProfilGruppen AB ser. B;PROF B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=929&marketid=11;11;929;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;125.0;;;;32.0;59.4;4.31;2.25;-1.34;8.08;-0.89;5.28;2.73;4.21;-1.02;-1.2;0.67;1.38;1.71;3.01;1.04;1.63;1.09
SSAB-B.ST;SSAB B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SSAB-B.ST;SSAB AB ser. B;SSAB B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=301&marketid=11;11;301;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;38.57;;;;39.0;65.8;4.03;2.65;-2.11;6.89;-1.41;5.16;2.83;3.73;-0.9;-1.28;0.91;1.54;1.93;2.45;1.02;0.91;1.05
